date,open,high,low,close,month,ret,ret5,sma20,sma50,fast,slow,prior,mom1,gate_pick,gate_forecast,GVZ,gvz_q90_252,gvz_stress,mtd_peak,mtd_trough,mtd_dd,mtd_up,price_emg_down,price_emg_up,macro_score,macro_series,event_down,bocpd_alarm_month,pos,action,reason,evidence,turn,strat_ret,equity,bh_ret,bh_equity
2026-03-30,4488.48,4580.74,4420.04,4511.16,2026-03,0.0035727792485149568,0.023672291256319644,4842.636,4959.2078,-1,-1,1,1,patch,5092.11234674,42.71,33.492000000000004,True,5322.15,4380.88,-0.15238014712099435,0.029738317415678894,False,False,0,,False,True,0,TUT,HOLD,TACTICAL_REVERSAL_CONFIRMED,0.0,0.0,1.109902860076443,0.0035727792485149568,1.0446489978811335
2026-03-31,4514.44,4687.2,4482.65,4668.29,2026-03,0.03483139591590634,0.042776185615139406,4821.536,4957.3092,-1,-1,1,1,patch,5092.11234674,38.89,33.556000000000004,True,5322.15,4380.88,-0.12285636443918335,0.06560554043936384,False,False,0,,False,True,0,TUT,HOLD,TACTICAL_REVERSAL_CONFIRMED,0.0,0.0,1.109902860076443,0.03483139591590634,1.081035580719486
2026-04-01,4681.84,4793.04,4661.1,4756.82,2026-04,0.018964117481990117,0.055722132830272386,4802.4185,4955.87,-1,-1,1,-1,momentum,5060.83558668,36.11,33.731,True,4756.82,4756.82,0.0,0.0,False,False,-1,RSAFS,False,True,1,AL,MONTHLY_ORIGIN_REEVALUATION,TACTICAL_REVERSAL_CONFIRMED,1.0,-0.001,1.1087929572163664,0.018964117481990117,1.1015364664744618
2026-04-02,4756.5,4800.49,4553.84,4675.39,2026-04,-0.017118579218889818,0.06722621938971174,4782.0419999999995,4950.6528,-1,-1,1,-1,momentum,5060.83558668,37.85,33.939,True,4756.82,4675.39,-0.017118579218889818,0.0,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_REVERSAL_CONFIRMED,0.0,-0.017118579218889818,1.0898119971409108,-0.017118579218889818,1.0826797272106228
2026-04-06,4643.07,4706.89,4600.35,4649.68,2026-04,-0.005499006499992576,0.03438855642811056,4755.8155,4943.9044,-1,0,1,-1,momentum,5060.83558668,37.04,34.23,True,4756.82,4649.68,-0.02252345054048699,0.0,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,-0.005499006499992576,1.083819113884863,-0.005499006499992576,1.0767260643532814
2026-04-07,4658.36,4718.1,4607.32,4706.32,2026-04,0.012181483456926046,0.04326160012058988,4734.271999999999,4937.8668,-1,0,1,-1,momentum,5060.83558668,37.43,34.773,True,4756.82,4649.68,-0.010616336123712933,0.012181483456926046,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,0.012181483456926046,1.0970216384909517,0.012181483456926046,1.089842185093842
2026-04-08,4740.88,4858.18,4699.29,4719.63,2026-04,0.002828111985585524,0.010997602976678955,4710.622,4928.6554,0,0,1,-1,momentum,5060.83558668,34.21,34.947,False,4756.82,4649.68,-0.007818248325561994,0.015044046041878145,False,False,0,,False,True,1,TUT,HOLD,MIXED_NEUTRAL,0.0,0.002828111985585524,1.1001241385352145,0.002828111985585524,1.0929243808399025
2026-04-09,4731.2,4801.29,4698.71,4765.01,2026-04,0.009615160510463738,0.0017217384723409168,4690.016500000001,4915.611800000001,1,0,1,-1,momentum,5060.83558668,31.66,34.947,False,4765.01,4649.68,0.0,0.024803857469761326,False,False,0,PCEPILFE,False,True,1,TUT,HOLD,MIXED_NEUTRAL,0.0,0.009615160510463738,1.1107020087086663,0.009615160510463738,1.1034330241874775
2026-04-10,4778.86,4795.18,4730.69,4749.18,2026-04,-0.0033221336366555665,0.015782640592549413,4673.489500000001,4903.0672,1,0,1,-1,momentum,5060.83558668,30.46,34.947,False,4765.01,4649.68,-0.0033221336366555665,0.02139932210388662,False,False,2,CPIAUCNS;CPILFENS,False,True,1,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.0033221336366555665,1.1070121082052344,-0.0033221336366555665,1.0997672722220277
2026-04-13,4662.3,4750.08,4644.39,4740.86,2026-04,-0.0017518813774168862,0.01960995165258672,4659.592,4900.159,1,1,1,-1,momentum,5060.83558668,30.0,34.947,False,4765.01,4649.68,-0.005068195030020983,0.01960995165258672,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0017518813774168862,1.1050727543082948,-0.0017518813774168862,1.0978406104183294
