date,open,high,low,close,month,ret,sma20,fast_raw,fast,slow,prior,pos,turn,strat_ret,equity
2023-04-12,2003.07,2028.36,2001.36,2014.45,2023-04,0.005641115243491424,1978.4385000000002,1.0,1,1,1,1,0.0,0.005641115243491424,1.1047101469144665
2023-04-13,2014.36,2048.66,2013.58,2039.36,2023-04,0.01236565812008239,1984.4945,1.0,1,1,1,1,0.0,0.01236565812008239,1.1183706149129968
2023-04-14,2039.92,2047.37,1992.37,2003.91,2023-04,-0.01738290444060875,1988.729,1.0,1,1,1,1,0.0,-0.01738290444060875,1.0989300853847794
2023-04-17,1997.24,2015.01,1981.18,1994.99,2023-04,-0.004451297712971147,1989.0344999999998,1.0,1,1,1,1,0.0,-0.004451297712971147,1.094038420408991
2023-04-18,1994.86,2011.83,1991.26,2005.16,2023-04,0.005097769913633643,1990.3735000000001,1.0,1,1,1,1,0.0,0.005097769913633643,1.0996155765529112
2023-04-19,2004.61,2008.13,1969.19,1994.92,2023-04,-0.0051068243930658674,1993.109,1.0,1,1,1,1,0.0,-0.0051068243930658674,1.0940000329035755
2023-04-20,1994.32,2012.34,1990.42,2004.62,2023-04,0.00486235036993965,1994.8404999999998,1.0,1,1,1,1,0.0,0.00486235036993965,1.099319444368278
2023-04-21,2003.77,2005.51,1971.58,1982.65,2023-04,-0.010959683131965048,1994.3010000000002,-1.0,0,1,1,1,0.0,-0.010959683131965048,1.0872712515971938
2023-04-24,1980.93,1990.84,1974.07,1989.01,2023-04,0.003207827907093952,1994.83,-1.0,-1,0,1,1,0.0,0.003207827907093952,1.0907590306606483
2023-04-25,1988.67,2003.78,1976.1,1997.08,2023-04,0.004057294835118963,1996.8704999999998,1.0,0,0,1,1,0.0,0.004057294835118963,1.0951845616421072
2023-04-26,1996.8,2009.29,1983.35,1988.84,2023-04,-0.0041260239950327016,1997.6415000000002,-1.0,0,0,1,1,0.0,-0.0041260239950327016,1.0906658038617825
2023-04-27,1989.12,2003.2,1974.1,1987.54,2023-04,-0.0006536473522253949,1998.8,-1.0,-1,0,1,1,0.0,-0.0006536473522253949,1.0899528930469253
2023-04-28,1987.52,1994.92,1976.24,1989.74,2023-04,0.0011068959618423246,1999.2685000000001,-1.0,-1,0,1,1,0.0,0.0011068959618423246,1.0911593575028373
2023-05-01,1991.09,2005.97,1977.0,1982.3,2023-05,-0.0037391820036789536,1999.966,-1.0,-1,-1,1,1,0.0,-0.0037391820036789536,1.087079314070117
2023-05-02,1981.01,2019.32,1978.44,2016.49,2023-05,0.017247641628411525,2001.602,1.0,0,-1,1,1,0.0,0.017247641628411525,1.1058288685008577
2023-05-03,2016.32,2040.32,2008.15,2038.6,2023-05,0.01096459689857121,2002.5330000000001,1.0,1,-1,1,1,0.0,0.01096459689857121,1.1179538362827728
2023-05-04,2041.07,2078.0,2030.36,2050.01,2023-05,0.00559697831845396,2004.016,1.0,1,-1,1,1,0.0,0.00559697831845396,1.1242109996654799
2023-05-05,2048.88,2052.94,1999.45,2016.53,2023-05,-0.016331627650596925,2004.5035,1.0,1,-1,1,1,0.0,-0.016331627650596925,1.105850804218238
2023-05-08,2016.02,2029.32,2014.15,2021.09,2023-05,0.0022613102706132704,2006.0219999999997,1.0,1,0,1,1,0.0,0.0022613102706132704,1.1083514759995827
2023-05-09,2020.81,2037.59,2019.45,2034.33,2023-05,0.006550920542875316,2007.5810000000001,1.0,1,0,1,1,0.0,0.006550920542875316,1.1156121984524345
2023-05-10,2034.2,2048.13,2021.45,2030.04,2023-05,-0.002108802406689203,2008.3605,1.0,1,0,1,1,0.0,-0.002108802406689203,1.1132595927634061
2023-05-11,2030.03,2041.2,2011.1,2014.73,2023-05,-0.007541723315796722,2007.1289999999997,1.0,1,0,1,1,0.0,-0.007541723315796722,1.104863696936128
2023-05-12,2015.07,2022.51,2000.85,2010.74,2023-05,-0.0019804142490557064,2007.4705000000001,1.0,1,0,1,1,0.0,-0.0019804142490557064,1.1026756091274514
2023-05-15,2007.63,2022.14,2007.07,2016.18,2023-05,0.0027054716174144122,2008.5300000000002,1.0,1,1,1,1,0.0,0.0027054716174144122,1.1056588666911609
2023-05-16,2015.69,2018.31,1985.45,1988.98,2023-05,-0.013490858951085705,2007.721,-1.0,0,1,1,1,0.0,-0.013490858951085705,1.090742578872613
2023-05-17,1988.86,1993.03,1975.03,1981.6,2023-05,-0.003710444549467673,2007.0549999999998,-1.0,-1,1,1,1,0.0,-0.003710444549467673,1.0866954390159629
2023-05-18,1980.97,1985.93,1951.92,1957.22,2023-05,-0.012303189341945853,2004.685,-1.0,-1,1,1,1,0.0,-0.012303189341945853,1.0733256192727205
2023-05-19,1957.21,1984.13,1953.95,1977.66,2023-05,0.010443383983405052,2004.4355,-1.0,-1,1,1,1,0.0,0.010443383983405052,1.0845347708540116
2023-05-22,1977.49,1982.56,1968.82,1971.66,2023-05,-0.0030338885349352473,2003.568,-1.0,-1,0,1,1,0.0,-0.0030338885349352473,1.081244413246979
2023-05-23,1971.53,1977.66,1954.2,1974.87,2023-05,0.001628069748333738,2002.4575,-1.0,-1,0,1,1,0.0,0.001628069748333738,1.0830047545667412
2023-05-24,1974.59,1985.17,1956.71,1957.09,2023-05,-0.009003124256280137,2000.8699999999997,-1.0,-1,0,1,1,0.0,-0.009003124256280137,1.0732543281912346
2023-05-25,1956.92,1964.69,1938.8,1940.77,2023-05,-0.008338911342861022,1998.5315000000003,-1.0,-1,0,1,1,0.0,-0.008338911342861022,1.064304555500106
2023-05-26,1940.16,1957.25,1936.66,1946.23,2023-05,0.0028133163641235193,1996.3559999999998,-1.0,-1,0,1,1,0.0,0.0028133163641235193,1.0672987809225056
2023-05-29,1942.61,1949.7,1940.24,1942.93,2023-05,-0.0016955858249024791,1994.3875,-1.0,-1,-1,1,1,0.0,-0.0016955858249024791,1.0654890842386378
2023-05-30,1943.02,1963.51,1931.99,1959.17,2023-05,0.008358510085283655,1991.5215,-1.0,-1,-1,1,1,0.0,0.008358510085283655,1.0743949854950061
2023-05-31,1958.95,1974.75,1953.65,1962.48,2023-05,0.001689490957905715,1987.7154999999998,-1.0,-1,-1,1,1,0.0,0.001689490957905715,1.076210166108219
2023-06-01,1962.27,1983.07,1953.3,1977.44,2023-06,0.007623007623007716,1984.087,-1.0,-1,-1,1,1,0.0,0.007623007623007716,1.0844141244084204
2023-06-02,1976.72,1983.38,1947.43,1948.08,2023-06,-0.014847479569544575,1980.6645,-1.0,-1,-1,1,1,0.0,-0.014847479569544575,1.068313307851341
2023-06-05,1947.04,1964.0,1938.06,1961.68,2023-06,0.006981232803580983,1977.6940000000002,-1.0,-1,-1,1,1,0.0,0.006981232803580983,1.0757714517606147
2023-06-06,1961.51,1966.39,1954.32,1963.09,2023-06,0.0007187716651033682,1974.132,-1.0,-1,-1,1,1,0.0,0.0007187716651033682,1.0765446857982675
2023-06-07,1963.12,1970.19,1939.66,1939.84,2023-06,-0.011843573142341968,1969.622,-1.0,-1,-1,1,1,0.0,-0.011843573142341968,1.0637945500710162
2023-06-08,1940.19,1970.46,1939.51,1965.24,2023-06,0.013093863411415496,1967.1475000000003,-1.0,-1,-1,1,1,0.0,0.013093863411415496,1.0777237306074543
