ry_thr,usd_thr,mode,period,n,base_acc,rule_acc,corrected,damaged,alarms
0.3,0.0,RY_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.0,USD_ONLY,DEV,130,0.5230769230769231,0.5692307692307692,17,11,28
0.3,0.0,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,4,1,5
0.3,0.0,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.3,0.0,USD_ONLY,LOCK,30,0.7666666666666667,0.7,4,6,10
0.3,0.01,AND,DEV,130,0.5230769230769231,0.5307692307692308,1,0,1
0.3,0.01,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.3,0.01,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.01,AND,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.01,OR,DEV,130,0.5230769230769231,0.5153846153846153,8,9,17
0.3,0.01,OR,VAL,24,0.4166666666666667,0.5,3,1,4
0.3,0.01,OR,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.3,0.01,OR,LOCK,30,0.7666666666666667,0.7333333333333333,4,5,9
0.3,0.01,RY_ONLY,DEV,130,0.5230769230769231,0.5307692307692308,1,0,1
0.3,0.01,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.3,0.01,RY_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.01,RY_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.01,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,8,9,17
0.3,0.01,USD_ONLY,VAL,24,0.4166666666666667,0.5416666666666666,3,0,3
0.3,0.01,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,1,1,2
0.3,0.01,USD_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,4,5,9
0.3,0.02,AND,DEV,130,0.5230769230769231,0.5230769230769231,0,0,0
0.3,0.02,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.3,0.02,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.02,AND,LOCK,30,0.7666666666666667,0.7666666666666667,1,1,2
0.3,0.02,OR,DEV,130,0.5230769230769231,0.5076923076923077,3,5,8
0.3,0.02,OR,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.3,0.02,OR,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.02,OR,LOCK,30,0.7666666666666667,0.7666666666666667,2,2,4
