target,origin,actual_dir,dir3,flat,real10,usd,ry1,ry3,usd1,usd3,alarm_frozen,pred_frozen
2012-12-01,2012-11-01,-1.0,1.0,False,-0.79,91.1038,-0.010000000000000009,-0.10999999999999999,-0.0006263650314991542,-0.011543089390317784,False,1.0
2013-01-01,2012-12-01,-1.0,-1.0,False,-0.67,91.0834,0.12,0.09999999999999998,-0.00022392040727181595,0.00274346006239945,False,-1.0
2013-02-01,2013-01-01,-1.0,-1.0,False,-0.57,90.798,0.10000000000000009,0.21000000000000008,-0.00313339203411378,-0.003980873378827909,False,-1.0
2013-03-01,2013-02-01,-1.0,-1.0,False,-0.64,92.295,-0.07000000000000006,0.15000000000000002,0.016487147293993365,0.013075195546179197,False,-1.0
2013-04-01,2013-03-01,-1.0,-1.0,False,-0.64,92.302,0.0,0.030000000000000027,7.5843761850658e-05,0.013378947206626135,False,-1.0
2013-05-01,2013-04-01,-1.0,-1.0,False,-0.64,91.3741,0.0,-0.07000000000000006,-0.010052869926978958,0.006344853410868101,False,-1.0
2013-06-01,2013-05-01,-1.0,-1.0,False,-0.05,93.6076,0.59,0.59,0.024443469210640778,0.014221788829297477,False,-1.0
2013-07-01,2013-06-01,-1.0,-1.0,False,0.53,94.3047,0.5800000000000001,1.17,0.007447044898063693,0.02169725466403749,False,-1.0
2013-08-01,2013-07-01,1.0,-1.0,False,0.38,93.5703,-0.15000000000000002,1.02,-0.007787522785184575,0.024035257255611953,False,-1.0
2013-09-01,2013-08-01,-1.0,-1.0,False,0.68,94.7541,0.30000000000000004,0.7300000000000001,0.012651450299934863,0.012247937133309517,False,-1.0
2013-10-01,2013-09-01,-1.0,1.0,False,0.45,92.9207,-0.23000000000000004,-0.08000000000000002,-0.019349030807110146,-0.014675832699748814,False,1.0
2013-11-01,2013-10-01,-1.0,1.0,False,0.4,92.731,-0.04999999999999999,0.020000000000000018,-0.002041525731080407,-0.008969726505098419,False,1.0
2013-12-01,2013-11-01,-1.0,-1.0,False,0.6,93.6291,0.19999999999999996,-0.08000000000000007,0.00968500285772822,-0.011872837164829786,False,-1.0
2014-01-01,2013-12-01,1.0,-1.0,False,0.8,93.5576,0.20000000000000007,0.35000000000000003,-0.0007636514716043985,0.006854231619004114,False,-1.0
2014-02-01,2014-01-01,1.0,-1.0,False,0.53,95.1774,-0.27,0.13,0.01731339837704282,0.026381684657773574,False,-1.0
2014-03-01,2014-02-01,1.0,1.0,False,0.49,94.3879,-0.040000000000000036,-0.10999999999999999,-0.008295036426714808,0.00810431799515321,False,1.0
2014-04-01,2014-03-01,-1.0,1.0,False,0.6,94.2432,0.10999999999999999,-0.20000000000000007,-0.0015330354844211858,0.007328105894123027,True,-1.0
2014-05-01,2014-04-01,-1.0,1.0,False,0.49,93.8896,-0.10999999999999999,-0.040000000000000036,-0.0037519948388848867,-0.013530523002309391,False,1.0
2014-06-01,2014-05-01,-1.0,-1.0,False,0.26,93.7606,-0.22999999999999998,-0.22999999999999998,-0.0013739540907620196,-0.0066459789867133745,False,-1.0
2014-07-01,2014-06-01,1.0,-1.0,False,0.27,93.2058,0.010000000000000009,-0.32999999999999996,-0.005917197628854787,-0.01100769074055219,False,-1.0
2014-08-01,2014-07-01,-1.0,1.0,False,0.29,94.4467,0.019999999999999962,-0.2,0.013313549156812154,0.005933564526848567,True,-1.0
2014-09-01,2014-08-01,-1.0,1.0,False,0.23,94.7251,-0.05999999999999997,-0.03,0.0029476943080064544,0.010286836901640894,True,-1.0
2014-10-01,2014-09-01,-1.0,-1.0,False,0.55,97.5261,0.32000000000000006,0.28,0.029569776120584645,0.04635226563153805,False,-1.0
2014-11-01,2014-10-01,-1.0,-1.0,False,0.43,98.1163,-0.12000000000000005,0.14,0.006051713336224784,0.038853660318465266,False,-1.0
2014-12-01,2014-11-01,1.0,-1.0,False,0.39,100.0719,-0.03999999999999998,0.16,0.01993144869914576,0.05644544054321399,False,-1.0
2015-01-01,2014-12-01,1.0,-1.0,False,0.49,102.2843,0.09999999999999998,-0.06000000000000005,0.022108104273027784,0.048788990844502056,False,-1.0
2015-02-01,2015-01-01,-1.0,1.0,False,0.03,105.5884,-0.45999999999999996,-0.4,0.03230310028029715,0.07615554194359131,True,-1.0
2015-03-01,2015-02-01,-1.0,1.0,False,0.17,105.5981,0.14,-0.22,9.18661519637709e-05,0.05522229516977295,True,-1.0
2015-04-01,2015-03-01,1.0,-1.0,False,0.18,107.4396,0.009999999999999981,-0.31,0.01743876073527839,0.05040167454829336,False,-1.0
2015-05-01,2015-04-01,0.0,-1.0,True,0.11,105.312,-0.06999999999999999,0.08,-0.01980275429171363,-0.0026177117940985317,False,-1.0
2015-06-01,2015-05-01,-1.0,-1.0,False,0.32,106.7388,0.21000000000000002,0.15,0.01354831358249764,0.01080227769249631,False,-1.0
2015-07-01,2015-06-01,-1.0,1.0,False,0.48,106.5191,0.15999999999999998,0.3,-0.002058295577615721,-0.008567604495921421,True,-1.0
