report_date_as_yyyy_mm_dd,market_and_exchange_names,cftc_contract_market_code,open_interest_all,m_money_positions_long_all,m_money_positions_short_all,date,mm_net,mm_net_oi,chg4,crowd_pct,unwind4_pct
2021-10-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,485974,124560,66761,2021-10-19,57799,0.11893434628189986,0.023870776426086232,0.2692307692307692,0.3269230769230769
2021-10-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,509794,141280,54918,2021-10-26,86362,0.16940568151057095,0.10653413821291664,0.4551282051282051,0.08974358974358974
2021-11-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,507616,136944,51705,2021-11-02,85239,0.167920238920759,0.055958205885696194,0.4423076923076923,0.16025641025641027
2021-11-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,571025,168133,42523,2021-11-09,125610,0.21997285582942955,0.09916118239812946,0.6410256410256411,0.09615384615384616
2021-11-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,612612,185468,43083,2021-11-16,142385,0.2324228059522177,0.11348845967031784,0.6474358974358975,0.07051282051282051
2021-11-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,559823,152273,46934,2021-11-23,105339,0.1881648306696938,0.018759149159122857,0.5384615384615384,0.3782051282051282
2021-11-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,531868,137469,45384,2021-11-30,92085,0.17313506358720585,0.005214824666446849,0.44871794871794873,0.4807692307692308
2021-12-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,499307,125067,44326,2021-12-07,80741,0.1617061246888187,-0.058266731140610845,0.3717948717948718,0.8910256410256411
2021-12-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,503709,121492,58075,2021-12-14,63417,0.12590007325658267,-0.10652273269563503,0.24358974358974358,0.9871794871794872
2021-12-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,500846,124120,52372,2021-12-21,71748,0.14325361488361693,-0.044911215786076875,0.28846153846153844,0.7756410256410257
2021-12-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,508912,130389,46726,2021-12-28,83663,0.16439580909862608,-0.008739254488579762,0.391025641025641,0.5256410256410257
2022-01-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,502717,124252,44744,2022-01-04,79508,0.15815657715971412,-0.0035495475291045797,0.33974358974358976,0.4935897435897436
2022-01-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,546516,119297,44987,2022-01-11,74310,0.13597040159848933,0.01007032834190666,0.24358974358974358,0.40384615384615385
2022-01-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,539204,119807,48014,2022-01-18,71793,0.13314626746092387,-0.010107347422693064,0.21794871794871795,0.532051282051282
2022-01-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,572078,140640,39265,2022-01-25,101375,0.17720485668038274,0.01280904758175666,0.47435897435897434,0.3717948717948718
2022-02-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,515331,108309,58395,2022-02-01,49914,0.09685813583890741,-0.06129844132080671,0.1282051282051282,0.8974358974358975
