week,best_scheme,sunday_present,sunday_open,sunday_volume,monfri_n,monfri_open_diff,monfri_high_diff,monfri_low_diff,monfri_close_diff,monfri_vol_diff,monfri_exact,sunfri_n,sunfri_open_diff,sunfri_high_diff,sunfri_low_diff,sunfri_close_diff,sunfri_vol_diff,sunfri_exact,sunsat_n,sunsat_open_diff,sunsat_high_diff,sunsat_low_diff,sunsat_close_diff,sunsat_vol_diff,sunsat_exact
2011-04-10,SUN_FRI,True,1474.35,455.0,5,0.20000000000004547,0.0,0.0,0.0,-455.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-04-17,SUN_FRI,True,1486.6,556.0,5,-1.1499999999998636,0.0,0.0,0.0,-556.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-04-24,SUN_FRI,True,1510.3,512.0,5,-0.34999999999990905,0.0,0.0,0.0,-512.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-05-01,SUN_FRI,True,1554.91,706.0,5,15.539999999999964,0.0,0.0,0.0,-706.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-05-08,SUN_FRI,True,1496.19,1175.0,5,-2.1400000000001,0.0,0.0,0.0,-1175.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-05-15,SUN_FRI,True,1493.04,1398.0,5,-0.19000000000005457,0.0,0.0,0.0,-1398.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-05-22,SUN_FRI,True,1512.89,1461.0,5,-0.9400000000000546,0.0,0.0,0.0,-1461.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-05-29,SUN_FRI,True,1536.54,394.0,5,0.029999999999972715,0.0,0.0,0.0,-394.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-06-05,SUN_FRI,True,1542.89,682.0,5,-1.1100000000001273,0.0,0.0,0.0,-682.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-06-12,SUN_FRI,True,1529.89,676.0,5,-0.14000000000010004,0.0,0.0,0.0,-676.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-06-19,SUN_FRI,True,1539.98,445.0,5,0.11999999999989086,0.0,0.0,0.0,-445.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-06-26,SUN_FRI,True,1499.88,785.0,5,0.01999999999998181,0.0,0.0,0.0,-785.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-07-03,SUN_FRI,True,1486.13,431.0,5,1.099999999999909,0.0,0.4900000000000091,0.0,-431.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-07-10,SUN_FRI,True,1543.01,533.0,5,-0.5299999999999727,0.0,0.13999999999987267,0.0,-533.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-07-17,SUN_FRI,True,1593.17,668.0,5,0.2300000000000182,0.0,0.0,0.0,-668.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-07-24,SUN_FRI,True,1599.12,3231.0,5,9.88000000000011,0.0,3.880000000000109,0.0,-3231.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-07-31,SUN_FRI,True,1619.32,2284.0,5,-9.019999999999982,0.0,1.3299999999999272,0.0,-2284.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-08-07,SUN_FRI,True,1677.51,2246.0,5,6.470000000000027,0.0,4.740000000000009,0.0,-2246.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-08-14,SUN_FRI,True,1743.62,2058.0,5,2.6400000000001,0.0,0.0,0.0,-2058.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-08-21,SUN_FRI,True,1859.41,2881.0,5,5.259999999999991,0.0,0.0,0.0,-2881.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-08-28,SUN_FRI,True,1836.83,2402.0,5,-1.759999999999991,0.0,0.0,0.0,-2402.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-09-04,SUN_FRI,True,1876.4,1820.0,5,3.6499999999998636,0.0,0.0,0.0,-1820.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-09-11,SUN_FRI,True,1858.47,2329.0,5,2.2799999999999727,0.0,0.0,0.0,-2329.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-09-18,SUN_FRI,True,1817.25,1970.0,5,-2.2999999999999545,-0.37999999999988177,0.0,0.0,-1970.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-09-25,SUN_FRI,True,1656.36,4767.0,5,-9.559999999999945,0.0,0.0,0.0,-4767.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-10-02,SUN_FRI,True,1617.21,1779.0,5,8.839999999999918,0.0,0.0,0.0,-1779.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-10-09,SUN_FRI,True,1638.86,1136.0,5,-0.6599999999998545,0.0,0.5299999999999727,0.0,-1136.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-10-16,SUN_FRI,True,1678.19,1158.0,5,2.6599999999998545,0.0,0.0,0.0,-1158.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-10-23,SUN_FRI,True,1641.9,1370.0,5,-3.5700000000001637,0.0,0.0,0.0,-1370.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-10-30,SUN_FRI,True,1740.82,647.0,5,2.660000000000082,0.0,0.0,0.0,-647.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-11-06,SUN_FRI,True,1752.65,2622.0,5,1.5799999999999272,0.0,0.0,0.0,-2622.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-11-13,SUN_FRI,True,1787.92,944.0,5,0.2599999999999909,0.0,0.0,0.0,-944.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-11-20,SUN_FRI,True,1723.49,1241.0,5,0.2400000000000091,0.0,0.0,0.0,-1241.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-11-27,SUN_FRI,True,1683.75,1544.0,5,0.44000000000005457,0.0,0.0,0.0,-1544.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-12-04,SUN_FRI,True,1746.67,919.0,5,2.4299999999998363,0.0,0.0,0.0,-919.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-12-11,SUN_FRI,True,1712.49,710.0,5,0.9100000000000819,0.0,0.0,0.0,-710.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-12-18,SUN_FRI,True,1600.76,1306.0,5,-1.1099999999999,0.0,0.0,0.0,-1306.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2011-12-25,SUN_FRI,False,,0.0,5,0.0,0.0,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,True
2012-01-01,SUN_FRI,False,,0.0,5,0.0,0.0,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,True
2012-01-08,SUN_FRI,True,1616.17,1187.0,5,-0.6200000000001182,0.0,0.0,0.0,-1187.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-01-15,SUN_FRI,True,1634.65,959.0,5,0.6299999999998818,0.0,0.0,0.0,-959.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
