origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
130,2025-09-30,2025-10-01,1,0.5272287591682434,0.6532511691621005,0.5,0.583969465648855,0.5704361422646759,0.5535680562313915,0.6532391751418911,L4_D0.97_A0.95,4.0,0.97,0.95,70,0.5033522382720108,-0.6225980736040709,UNCERTAIN,"[0.34778968032607477,0.3261654734500226,0.32604484622390273]"
131,2025-10-01,2025-10-02,0,0.5591123265033837,0.6653085484908746,0.5,0.5871212121212122,0.5747933773793023,0.5594929326279026,0.6653082900771444,L4_D0.97_A0.95,4.0,0.97,0.95,71,0.4496924932559854,-0.3087617344261379,UNCERTAIN,"[0.34733328461006835,0.3263940800068156,0.32627263538311596]"
132,2025-10-02,2025-10-03,1,0.5285581828119031,0.6417553665552308,0.5,0.5827067669172933,0.5690213684196422,0.5521644901936259,0.6417373909189089,L4_D0.97_A0.95,4.0,0.97,0.95,72,0.5203143117533456,-0.6963350217509903,UNCERTAIN,"[0.34661489843520915,0.32674515908177737,0.3266399424830134]"
133,2025-10-03,2025-10-06,1,0.5471153499921517,0.6540959120741495,0.5,0.585820895522388,0.5733063352048006,0.5579548473191351,0.6540884994513309,L4_D0.97_A0.95,4.0,0.97,0.95,73,0.4840223818961616,-0.4630413943183586,UNCERTAIN,"[0.3463982009717842,0.32685439693832746,0.3267474020898883]"
134,2025-10-06,2025-10-07,1,0.5726780244950684,0.6658704941430735,0.5,0.5888888888888889,0.5775060554308044,0.5635952657153794,0.6658718729559934,L4_D0.97_A0.95,4.0,0.97,0.95,74,0.4417913681934823,-0.21608573364357894,UNCERTAIN,"[0.34592560903041797,0.3270907851080281,0.326983605861554]"
135,2025-10-07,2025-10-08,1,0.6036353010930559,0.677115673086767,0.5,0.5919117647058824,0.5816230164578746,0.5690912638947717,0.6771238911480886,L4_D0.97_A0.95,4.0,0.97,0.95,75,0.3964108405143154,0.03271175569101857,UP,"[0.34525532980550855,0.3274253884859562,0.3273192817085353]"
136,2025-10-08,2025-10-09,0,0.6379548931914556,0.6878649847886124,0.5,0.5948905109489051,0.5856596124531501,0.574448116619152,0.6878781186172814,L4_D0.97_A0.95,4.0,0.97,0.95,76,0.3503507097176284,0.2735508681393392,UP,"[0.34443597823176364,0.3278340372831382,0.32772998448509827]"
137,2025-10-09,2025-10-10,1,0.5861922178972031,0.6644180859445107,0.5,0.5905797101449275,0.5800627922195296,0.5673940284708802,0.6644193151397867,L4_D0.97_A0.95,4.0,0.97,0.95,77,0.42891849353489825,-0.11810678850497493,UNCERTAIN,"[0.34468899575175355,0.3277024256629983,0.3276085785852483]"
138,2025-10-10,2025-10-13,1,0.6098774494522209,0.6755337831931708,0.5,0.5935251798561151,0.5840380864464719,0.5726422936958726,0.6755402596363104,L4_D0.97_A0.95,4.0,0.97,0.95,78,0.39562046102068843,0.06978744564363364,UP,"[0.3440819054319948,0.3280054248393166,0.32791266972868865]"
139,2025-10-13,2025-10-14,1,0.6370453786123232,0.6861804238660065,0.5,0.5964285714285714,0.5879379738356139,0.5777624353872818,0.6861906803111202,L4_D0.97_A0.95,4.0,0.97,0.95,79,0.3597219411291316,0.25928075023952213,UP,"[0.34334945147119666,0.3283707038010653,0.32827984472773813]"
140,2025-10-14,2025-10-15,1,0.666359369874235,0.6963854953722554,0.5,0.599290780141844,0.591764558128612,0.5827589444517439,0.6963981861241196,L4_D0.97_A0.95,4.0,0.97,0.95,80,0.3228641342288531,0.4443810717164214,UP,"[0.34252580926624965,0.3287812666519405,0.3286929240818098]"
141,2025-10-15,2025-10-16,1,0.6964696797575695,0.7061744455720745,0.5,0.602112676056338,0.5955198673497237,0.5876361189203569,0.7061883946220712,L4_D0.97_A0.95,4.0,0.97,0.95,81,0.28638886700923705,0.6205596338291905,UP,"[0.3416394291213645,0.32922296391583034,0.3291376069628051]"
142,2025-10-16,2025-10-17,0,0.7261921544226246,0.7155708648676218,0.5,0.6048951048951049,0.5992058570446094,0.5923980727568682,0.7155850861552695,L4_D0.97_A0.95,4.0,0.97,0.95,82,0.2512805851381821,0.7848582816039964,UP,"[0.34071389453489814,0.32968406620894,0.329602039256162]"
143,2025-10-17,2025-10-20,1,0.6590941061829341,0.6920351128889645,0.5,0.6006944444444444,0.5937943691675238,0.5856344467806223,0.6920444442446358,L4_D0.97_A0.95,4.0,0.97,0.95,83,0.3371550347101716,0.397831725236607,UP,"[0.34178780657744434,0.32914447027652444,0.3290677231460312]"
144,2025-10-20,2025-10-21,0,0.6831052960166917,0.7018746656375009,0.5,0.603448275862069,0.5974302209177542,0.5903125433906812,0.7018851827144799,L4_D0.97_A0.95,4.0,0.97,0.95,84,0.30953533055597426,0.5355317034180541,UP,"[0.34102196726739675,0.32952613061794706,0.3294519021146562]"
145,2025-10-21,2025-10-22,0,0.6362320477163994,0.6789506870281539,0.5,0.5993150684931506,0.5921299361199647,0.5837217873979047,0.6789560077043522,L4_D0.97_A0.95,4.0,0.97,0.95,85,0.3694406659847486,0.25316184257583796,UP,"[0.3416144808681183,0.329227039522198,0.3291584796096838]"
146,2025-10-22,2025-10-23,1,0.608900861281809,0.6568193535498212,0.5,0.5952380952380952,0.5869212844769955,0.5772724361416378,0.6568187408715365,L4_D0.97_A1,4.0,0.97,1.0,86,0.4049050111987054,0.05821344070691557,UP,"[0.3769915694813278,0.30957434623676333,0.31343408428190894]"
