origin_date,target_date,horizon,actual_return,previous_sign_return,AR1_QBOOST_q0.10,AR1_QBOOST_m0.10,AR1_QBOOST_q0.15,AR1_QBOOST_m0.15,AR1_QBOOST_q0.20,AR1_QBOOST_m0.20,AR1_QBOOST_q0.25,AR1_QBOOST_m0.25,AR1_QBOOST_q0.30,AR1_QBOOST_m0.30,AR1_QBOOST_q0.35,AR1_QBOOST_m0.35,AR1_QBOOST_q0.40,AR1_QBOOST_m0.40,AR1_QBOOST_q0.45,AR1_QBOOST_m0.45,AR1_QBOOST_q0.50,AR1_QBOOST_m0.50,AR1_QBOOST_q0.55,AR1_QBOOST_m0.55,AR1_QBOOST_q0.60,AR1_QBOOST_m0.60,AR1_QBOOST_q0.65,AR1_QBOOST_m0.65,AR1_QBOOST_q0.70,AR1_QBOOST_m0.70,AR1_QBOOST_q0.75,AR1_QBOOST_m0.75,AR1_QBOOST_q0.80,AR1_QBOOST_m0.80,AR1_QBOOST_q0.85,AR1_QBOOST_m0.85,AR1_QBOOST_q0.90,AR1_QBOOST_m0.90,AR1_RM_QBOOST_q0.10,AR1_RM_QBOOST_m0.10,AR1_RM_QBOOST_q0.15,AR1_RM_QBOOST_m0.15,AR1_RM_QBOOST_q0.20,AR1_RM_QBOOST_m0.20,AR1_RM_QBOOST_q0.25,AR1_RM_QBOOST_m0.25,AR1_RM_QBOOST_q0.30,AR1_RM_QBOOST_m0.30,AR1_RM_QBOOST_q0.35,AR1_RM_QBOOST_m0.35,AR1_RM_QBOOST_q0.40,AR1_RM_QBOOST_m0.40,AR1_RM_QBOOST_q0.45,AR1_RM_QBOOST_m0.45,AR1_RM_QBOOST_q0.50,AR1_RM_QBOOST_m0.50,AR1_RM_QBOOST_q0.55,AR1_RM_QBOOST_m0.55,AR1_RM_QBOOST_q0.60,AR1_RM_QBOOST_m0.60,AR1_RM_QBOOST_q0.65,AR1_RM_QBOOST_m0.65,AR1_RM_QBOOST_q0.70,AR1_RM_QBOOST_m0.70,AR1_RM_QBOOST_q0.75,AR1_RM_QBOOST_m0.75,AR1_RM_QBOOST_q0.80,AR1_RM_QBOOST_m0.80,AR1_RM_QBOOST_q0.85,AR1_RM_QBOOST_m0.85,AR1_RM_QBOOST_q0.90,AR1_RM_QBOOST_m0.90
2023-08-03,2023-08-14,5,-0.014626449302860304,-0.0010793600224661042,0.0010511649959178068,17,0.0010511649959178077,17,0.0010511649959178064,17,0.0010511649959178053,17,0.0010511649959178057,17,0.0010511649959178053,17,0.0010511649959178057,17,0.0010511649959178062,17,0.0010511649959178075,17,0.0010511649959178057,17,0.001051164995917806,17,0.0010511649959178062,17,0.0010511649959178049,17,0.0010511649959178055,17,0.001051164995917806,17,0.0010511649959178047,17,0.0010511649959178044,17,0.0013546876679644405,1,0.00135468766796444,1,0.0013546876679644384,1,0.0013546876679644364,1,0.0013546876679644358,1,0.0013546876679644345,1,0.0013546876679644334,1,0.0013546876679644318,1,0.001354687667964431,1,0.0013546876679644295,1,0.0013546876679644288,1,0.0013546876679644273,1,0.0013546876679644258,1,0.001354687667964425,1,0.001354687667964424,1,0.001354687667964423,1,0.0013546876679644212,1
2023-08-07,2023-08-15,5,-0.015130694918678713,-0.0010805262994702787,0.0010281244337657298,27,0.001028124433765728,27,0.0010281244337657272,27,0.0010281244337657259,27,0.0010281244337657287,27,0.0010281244337657252,27,0.0010281244337657276,27,0.001028124433765726,27,0.001028124433765726,27,0.0010281244337657274,27,0.0010281244337657276,27,0.0010281244337657282,27,0.0010281244337657263,27,0.0010281244337657278,27,0.0010281244337657267,27,0.0010281244337657265,27,0.0010281244337657254,27,0.0015326035887477736,1,0.0015326035887477721,1,0.001532603588747771,1,0.0015326035887477697,1,0.0015326035887477682,1,0.001532603588747768,1,0.0015326035887477654,1,0.0015326035887477624,1,0.0015326035887477615,1,0.0015326035887477597,1,0.001532603588747758,1,0.0015326035887477565,1,0.0015326035887477565,1,0.0015326035887477524,1,0.0015326035887477528,1,0.0015326035887477506,1,0.001532603588747749,1
2023-08-08,2023-08-16,5,-0.01951431564224792,-0.0015738050868448414,0.0010046480928459546,5,0.0010046480928459541,5,0.0010046480928459548,5,0.0010046480928459544,5,0.0010046480928459544,5,0.0010046480928459544,5,0.0010046480928459541,5,0.0010046480928459541,5,0.0010046480928459544,5,0.0010046480928459546,5,0.0010046480928459546,5,0.001004648092845955,5,0.0010046480928459544,5,0.0010046480928459544,5,0.001004648092845955,5,0.0010046480928459548,5,0.0010046480928459548,5,0.0018237942050747576,7,0.001823794205074749,7,0.0018237942050747394,7,0.0018237942050747275,7,0.0018237942050747186,7,0.001823794205074708,7,0.0018237942050747006,7,0.0018237942050746908,7,0.001823794205074684,7,0.001823794205074674,7,0.0018237942050746661,7,0.0018237942050746488,7,0.001823794205074644,7,0.001823794205074641,7,0.0018237942050746306,7,0.001823794205074623,7,0.0018237942050746132,7
2023-08-09,2023-08-17,5,-0.013590606664728215,-0.005939510838727162,0.0010853284159406723,8,0.0010853284159406732,8,0.0010853284159406714,8,0.0010853284159406734,8,0.0010853284159406695,8,0.0010853284159406719,8,0.0010853284159406725,8,0.0010853284159406695,8,0.00108532841594067,8,0.0010853284159406686,8,0.0010853284159406693,8,0.001085328415940667,8,0.0010853284159406706,8,0.0010853284159406684,8,0.001085328415940669,8,0.0010853284159406688,8,0.0010853284159406695,8,0.0022169525415294414,3,0.0022169525415294314,3,0.0022169525415294284,3,0.002216952541529418,3,0.0022169525415294163,3,0.0022169525415294163,3,0.0022169525415294093,3,0.002216952541529402,3,0.002216952541529397,3,0.0022169525415293937,3,0.002216952541529386,3,0.0022169525415293833,3,0.0022169525415293764,3,0.0022169525415293733,3,0.0022169525415293642,3,0.0022169525415293625,3,0.0022169525415293555,3
2023-08-10,2023-08-21,5,-0.009740680240134643,-0.0020869210393344743,0.0009008618757050892,5,0.0009008618757050877,5,0.0009008618757050881,5,0.0009008618757050879,5,0.0009008618757050877,5,0.0009008618757050874,5,0.0009008618757050877,5,0.0009008618757050872,5,0.0009008618757050861,5,0.0009008618757050869,5,0.0009008618757050865,5,0.0009008618757050864,5,0.0009008618757050861,5,0.0009008618757050855,5,0.0009008618757050862,5,0.000900861875705086,5,0.0009008618757050852,5,0.0016757237668352176,7,0.0016757237668352113,7,0.0016757237668352013,7,0.0016757237668351857,7,0.0016757237668351796,7,0.0016757237668351662,7,0.0016757237668351597,7,0.001675723766835147,7,0.0016757237668351401,7,0.0016757237668351287,7,0.0016757237668351254,7,0.0016757237668351109,7,0.0016757237668351059,7,0.0016757237668350937,7,0.0016757237668350844,7,0.0016757237668350777,7,0.001675723766835063,7
2023-08-14,2023-08-22,5,-0.0028880355260693263,-0.003945686038483475,0.0008779084872762846,4,0.0008779084872762829,4,0.0008779084872762851,4,0.000877908487276284,4,0.0008779084872762855,4,0.0008779084872762858,4,0.0008779084872762848,4,0.0008779084872762837,4,0.0008779084872762835,4,0.0008779084872762859,4,0.000877908487276285,4,0.000877908487276284,4,0.0008779084872762851,4,0.0008779084872762868,4,0.000877908487276285,4,0.0008779084872762855,4,0.000877908487276286,4,0.0016337330908928786,4,0.0016337330908928731,4,0.0016337330908928677,4,0.0016337330908928627,4,0.0016337330908928567,4,0.0016337330908928532,4,0.0016337330908928502,4,0.0016337330908928447,4,0.001633733090892841,4,0.0016337330908928343,4,0.001633733090892829,4,0.001633733090892827,4,0.001633733090892822,4,0.0016337330908928146,4,0.001633733090892809,4,0.0016337330908928042,4,0.001633733090892799,4
2023-08-15,2023-08-23,5,0.008763368293016929,-0.0015847719152887324,0.0007717308955990832,1,0.0007717308955990832,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.0007717308955990829,1,0.0007717308955990832,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.000771730895599083,1,0.0007717308955990829,1,0.0014759625375391772,6,0.001475962537539165,6,0.0014759625375391494,6,0.0014759625375391438,6,0.0014759625375391366,6,0.0014759625375391264,6,0.0014759625375391165,6,0.0014759625375391104,6,0.0014759625375391013,6,0.0014759625375390946,6,0.0014759625375390852,6,0.00147596253753907,6,0.0014759625375390661,6,0.0014759625375390618,6,0.0014759625375390401,6,0.0014759625375390358,6,0.001475962537539026,6
2023-08-16,2023-08-24,5,0.010866214602485854,-0.005957425810413948,0.0006113911402268149,3,0.0006113911402268144,3,0.0006113911402268134,3,0.000611391140226814,3,0.000611391140226813,3,0.0006113911402268128,3,0.0006113911402268136,3,0.0006113911402268139,3,0.0006113911402268132,3,0.0006113911402268128,3,0.0006113911402268135,3,0.0006113911402268136,3,0.0006113911402268123,3,0.0006113911402268126,3,0.0006113911402268131,3,0.0006113911402268135,3,0.0006113911402268138,3,0.0011376834060055352,2,0.001137683406005531,2,0.0011376834060055267,2,0.0011376834060055257,2,0.00113768340600552,2,0.0011376834060055165,2,0.0011376834060055144,2,0.00113768340600551,2,0.0011376834060055057,2,0.0011376834060055018,2,0.0011376834060054998,2,0.0011376834060054962,2,0.0011376834060054886,2,0.0011376834060054892,2,0.0011376834060054886,2,0.001137683406005484,2,0.0011376834060054784,2
2023-08-17,2023-08-28,5,0.01713363225113817,-1.580186120759594e-05,0.00055304239810148,7,0.00055304239810148,7,0.0005530423981014802,7,0.0005530423981014801,7,0.0005530423981014801,7,0.0005530423981014802,7,0.0005530423981014801,7,0.0005530423981014801,7,0.0005530423981014801,7,0.0005530423981014801,7,0.0005530423981014802,7,0.0005530423981014802,7,0.0005530423981014802,7,0.0005530423981014803,7,0.0005530423981014802,7,0.0005530423981014802,7,0.0005530423981014803,7,0.0009748627288780629,6,0.000974862728878041,6,0.000974862728878026,6,0.0009748627288779961,6,0.0009748627288779901,6,0.0009748627288779723,6,0.0009748627288779577,6,0.0009748627288779432,6,0.0009748627288779324,6,0.0009748627288779124,6,0.0009748627288778972,6,0.0009748627288778791,6,0.0009748627288778712,6,0.0009748627288778508,6,0.000974862728877828,6,0.000974862728877831,6,0.0009748627288778025,6
2023-08-21,2023-08-29,5,0.02125302203551155,0.0017630053852589927,0.00045309986469831246,9,0.0004530998646983137,9,0.00045309986469831316,9,0.00045309986469831295,9,0.0004530998646983127,9,0.00045309986469831316,9,0.0004530998646983139,9,0.00045309986469831273,9,0.0004530998646983136,9,0.00045309986469831343,9,0.0004530998646983136,9,0.0004530998646983137,9,0.00045309986469831387,9,0.00045309986469831414,9,0.0004530998646983144,9,0.00045309986469831376,9,0.00045309986469831473,9,0.0006434457038919682,20,0.0006434457038919702,20,0.0006434457038919666,20,0.000643445703891959,20,0.0006434457038919564,20,0.0006434457038919585,20,0.0006434457038919539,20,0.0006434457038919564,20,0.0006434457038919533,20,0.0006434457038919488,20,0.0006434457038919462,20,0.0006434457038919397,20,0.0006434457038919383,20,0.0006434457038919379,20,0.0006434457038919341,20,0.0006434457038919329,20,0.0006434457038919289,20
2023-08-22,2023-08-30,5,0.02268388205690941,0.0029069586755817163,0.00046270769948744835,20,0.0004627076994874505,20,0.00046270769948744916,20,0.0004627076994874485,20,0.0004627076994874492,20,0.00046270769948744895,20,0.0004627076994874458,20,0.0004627076994874436,20,0.0004627076994874453,20,0.00046270769948744835,20,0.0004627076994874436,20,0.00046270769948744835,20,0.0004627076994874454,20,0.0004627076994874452,20,0.00046270769948744326,20,0.0004627076994874442,20,0.00046270769948744147,20,0.0005935956207536187,6,0.0005935956207536183,6,0.000593595620753616,6,0.0005935956207536143,6,0.0005935956207536108,6,0.0005935956207536094,6,0.0005935956207536071,6,0.0005935956207536036,6,0.0005935956207536052,6,0.0005935956207536004,6,0.0005935956207535984,6,0.0005935956207535961,6,0.000593595620753594,6,0.0005935956207535908,6,0.00059359562075359,6,0.0005935956207535862,6,0.0005935956207535867,6
2023-08-23,2023-08-31,5,0.009419774476331076,0.010066631903797665,0.0006582905958514457,3,0.0006582905958514492,3,0.0006582905958514465,3,0.0006582905958514469,3,0.0006582905958514471,3,0.0006582905958514463,3,0.0006582905958514484,3,0.0006582905958514451,3,0.0006582905958514457,3,0.0006582905958514463,3,0.0006582905958514463,3,0.0006582905958514467,3,0.0006582905958514471,3,0.0006582905958514445,3,0.0006582905958514463,3,0.0006582905958514464,3,0.0006582905958514471,3,0.0006582905958514478,3,0.0006582905958514468,3,0.0006582905958514417,3,0.000658290595851446,3,0.0006582905958514463,3,0.0006582905958514466,3,0.0006582905958514469,3,0.0006582905958514487,3,0.0006582905958514491,3,0.0006582905958514471,3,0.0006582905958514454,3,0.0006582905958514448,3,0.0006582905958514474,3,0.0006582905958514415,3,0.0006582905958514468,3,0.0006582905958514443,3,0.0006582905958514419,3
2023-08-24,2023-09-04,5,0.012247572275298102,-0.0038545795009451342,0.0004666100143026188,3,0.0004666100143026204,3,0.0004666100143026201,3,0.00046661001430261986,3,0.0004666100143026198,3,0.00046661001430262067,3,0.00046661001430261953,3,0.0004666100143026197,3,0.00046661001430262035,3,0.00046661001430261986,3,0.0004666100143026202,3,0.00046661001430262116,3,0.00046661001430262083,3,0.0004666100143026206,3,0.0004666100143026215,3,0.00046661001430262143,3,0.00046661001430262094,3,0.0010042254492449274,6,0.0010042254492449152,6,0.0010042254492449135,6,0.001004225449244874,6,0.0010042254492448792,6,0.001004225449244852,6,0.0010042254492448439,6,0.00100422544924482,6,0.0010042254492448111,6,0.0010042254492447964,6,0.001004225449244786,6,0.0010042254492447652,6,0.0010042254492447483,6,0.0010042254492447329,6,0.0010042254492447264,6,0.0010042254492447125,6,0.0010042254492446806,6
