year,origin_date,target_date,q80,sqrt_forecast,target_dr,target_return,risk_hit,actual_up,outcome_class,RV_LOGIT_available,RV_LOGIT_up,RV_LOGIT_p_up,TTSM_S2_available,TTSM_S2_up,TTSM_S2_signal
2020,2020-04-27,2020-04-28,2.860861230028183e-05,7.98679685566132e-05,5.727596457966192e-05,0.007057962433566796,1,1,HIT_UP,1,1,0.526773889668611,1,0,0
2020,2020-04-28,2020-04-29,2.860861230028183e-05,6.709480450334323e-05,6.346290233552489e-05,0.0014138076422144299,1,1,HIT_UP,1,1,0.5296701864704567,1,1,1
2020,2020-04-29,2020-04-30,2.860861230028183e-05,6.587119010974536e-05,0.0001197869159902986,-0.014499793528869098,1,0,HIT_DOWN,1,1,0.5326706515831843,1,1,1
2020,2020-04-30,2020-05-01,2.860861230028183e-05,7.598163935123128e-05,6.455590582220532e-05,0.007163708502025281,1,1,HIT_UP,1,1,0.5337109950913901,1,0,-1
2020,2020-05-01,2020-05-04,2.860861230028183e-05,6.966831199680275e-05,5.972024305466017e-05,-0.0011003593459521525,1,0,HIT_DOWN,1,1,0.5340381541323299,1,0,-1
2020,2020-05-04,2020-05-05,2.860861230028183e-05,6.736082435589571e-05,5.320470711228011e-05,0.0022896799351210684,1,1,HIT_UP,1,1,0.5281841028590273,1,1,1
2020,2020-05-05,2020-05-06,2.860861230028183e-05,6.596833473555702e-05,7.361497662541075e-05,-0.006097309518235904,1,0,HIT_DOWN,1,1,0.5300605468470537,1,1,1
2020,2020-05-06,2020-05-07,2.860861230028183e-05,6.881215093739207e-05,4.739427503570976e-05,0.01387156549956554,1,1,HIT_UP,1,1,0.5289031338513406,1,1,1
2020,2020-05-07,2020-05-08,2.860861230028183e-05,5.958334872415102e-05,5.82441790695831e-05,-0.007661774287019199,1,0,HIT_DOWN,1,1,0.5302906124309202,1,1,1
2020,2020-05-08,2020-05-11,2.860861230028183e-05,5.8965359947404004e-05,4.525738728554783e-05,-0.0010939291846996497,1,0,HIT_DOWN,1,1,0.5262258288364715,1,1,1
2020,2020-05-11,2020-05-12,2.860861230028183e-05,5.60168040616564e-05,3.299727376720798e-05,0.001296540522524923,1,1,HIT_UP,1,1,0.5228055246962803,1,0,-1
2020,2020-05-12,2020-05-13,2.860861230028183e-05,5.1869025188467646e-05,5.453248670020094e-05,0.006304441878448141,1,1,HIT_UP,1,1,0.5226201082010514,1,0,-1
2020,2020-05-13,2020-05-14,2.860861230028183e-05,5.2437100347719425e-05,3.143102634232596e-05,0.010809598456536696,1,1,HIT_UP,1,1,0.5268636629821992,1,0,-1
2020,2020-05-14,2020-05-15,2.860861230028183e-05,4.7505178714689227e-05,4.171965655146334e-05,0.005755958182617113,1,1,HIT_UP,1,1,0.5276296783516015,1,1,1
2020,2020-05-15,2020-05-18,2.860861230028183e-05,4.631376022847454e-05,9.710986173851409e-05,-0.0030140047329219937,1,0,HIT_DOWN,1,1,0.5284710936913779,1,1,1
2020,2020-05-18,2020-05-19,2.860861230028183e-05,5.4231637122573466e-05,3.16843456000685e-05,0.007113011381851292,1,1,HIT_UP,1,1,0.5334121626925931,1,1,1
2020,2020-05-19,2020-05-20,2.860861230028183e-05,4.758507215240723e-05,3.929995434397838e-05,-0.004600471081943598,1,0,HIT_DOWN,1,1,0.5264665393556698,1,1,1
2020,2020-05-20,2020-05-21,2.860861230028183e-05,4.637449387184101e-05,5.670739345273374e-05,-0.00800977465002986,1,0,HIT_DOWN,1,1,0.5259507788534423,1,1,1
2020,2020-05-21,2020-05-22,2.860861230028183e-05,4.9068382055504656e-05,2.564130518378357e-05,0.003946603712369412,0,1,MISS,1,1,0.5263873504164154,1,1,1
2020,2020-05-22,2020-05-25,2.860861230028183e-05,4.358958530385693e-05,1.927028059806542e-05,0.00034098198818497365,0,1,MISS,1,1,0.5224189177432472,1,1,1
2020,2020-05-25,2020-05-26,2.860861230028183e-05,3.578797308681512e-05,4.236872815261026e-05,-0.0152550358802886,1,0,HIT_DOWN,1,1,0.5196218629069885,1,1,1
2020,2020-05-26,2020-05-27,2.860861230028183e-05,3.8681978454683525e-05,3.443022612528216e-05,0.0034294227551376188,1,1,HIT_UP,1,1,0.525208617350735,1,0,-1
2020,2020-05-27,2020-05-28,2.860861230028183e-05,3.705920376906721e-05,3.386442907957826e-05,0.0032578487145950605,1,1,HIT_UP,1,1,0.5294413051323953,1,1,1
2020,2020-05-28,2020-05-29,2.860861230028183e-05,3.477350000128495e-05,3.517835346438365e-05,0.00548924033922165,1,1,HIT_UP,1,1,0.5268613949080644,1,1,1
2020,2020-05-29,2020-06-01,2.860861230028183e-05,3.548935548391809e-05,2.987231126425456e-05,0.005696720278973721,1,1,HIT_UP,1,1,0.5267918282982088,1,1,1
