origin_date,actual_up,p_up,pred_up
2025-03-21,0,0.551052689552,1
2025-03-24,1,0.569466233253,1
2025-03-25,0,0.541278302670,1
2025-03-26,1,0.519342243671,1
2025-03-27,1,0.497051060200,0
2025-03-28,1,0.536842107773,1
2025-03-31,0,0.601477384567,1
2025-04-01,1,0.521533787251,1
2025-04-02,0,0.537565350533,1
2025-04-03,0,0.578407287598,1
2025-04-04,0,0.504369080067,1
2025-04-07,1,0.513086020947,1
2025-04-08,1,0.476215124130,0
2025-04-09,1,0.532126784325,1
2025-04-10,1,0.479724586010,0
2025-04-11,0,0.595849514008,1
2025-04-14,1,0.581485450268,1
2025-04-17,1,0.610495269299,1
2025-04-18,1,0.492877811193,0
2025-04-21,0,0.554100692272,1
2025-04-22,0,0.482687532902,0
2025-04-23,1,0.504160702229,1
2025-04-24,0,0.526595950127,1
2025-04-25,1,0.541542410851,1
2025-04-28,0,0.530254364014,1
2025-04-29,0,0.532470107079,1
2025-04-30,0,0.534375965595,1
2025-05-01,1,0.543163955212,1
2025-05-02,1,0.579760074615,1
2025-05-05,1,0.504506349564,1
2025-05-06,0,0.445905327797,0
2025-05-07,0,0.461198121309,0
2025-05-08,1,0.451477169991,0
2025-05-09,0,0.554897844791,1
2025-05-12,1,0.566099166870,1
2025-05-13,0,0.564288377762,1
2025-05-14,1,0.578052997589,1
2025-05-15,0,0.523283243179,1
2025-05-16,1,0.574177324772,1
2025-05-19,1,0.547302603722,1
2025-05-20,1,0.627750813961,1
2025-05-21,0,0.434449404478,0
2025-05-22,1,0.520063996315,1
2025-05-23,0,0.448135465384,0
2025-05-26,0,0.472839057446,0
2025-05-27,0,0.490197300911,0
2025-05-28,1,0.568784415722,1
2025-05-29,0,0.509354352951,1
2025-05-30,1,0.665781378746,1
2025-06-02,0,0.706336438656,1
2025-06-03,1,0.628718733788,1
2025-06-04,0,0.703341543674,1
2025-06-05,0,0.676810860634,1
2025-06-06,1,0.632499575615,1
2025-06-09,0,0.678134739399,1
2025-06-10,1,0.526794612408,1
2025-06-11,1,0.454618394375,0
2025-06-12,1,0.445486754179,0
2025-06-13,0,0.505028605461,1
2025-06-16,1,0.535127103329,1
2025-06-17,0,0.486869364977,0
2025-06-18,1,0.495031595230,0
2025-06-19,0,0.478532075882,0
2025-06-20,1,0.412504941225,0
2025-06-23,0,0.429995417595,0
2025-06-24,1,0.513951599598,1
2025-06-25,0,0.497631371021,0
2025-06-26,0,0.637238621712,1
2025-06-27,1,0.592782735825,1
2025-06-30,1,0.603343784809,1
2025-07-01,1,0.545912683010,1
2025-07-02,0,0.508950471878,1
2025-07-03,1,0.580124258995,1
2025-07-04,1,0.584907412529,1
2025-07-07,0,0.520729064941,1
2025-07-08,1,0.543600082397,1
2025-07-09,1,0.518848001957,1
2025-07-10,1,0.421509683132,0
2025-07-11,0,0.487567037344,0
2025-07-14,0,0.521521210670,1
2025-07-15,1,0.503811120987,1
2025-07-16,0,0.534335553646,1
2025-07-17,1,0.442105770111,0
2025-07-18,1,0.523602724075,1
2025-07-21,1,0.503540337086,1
2025-07-22,0,0.484273523092,0
2025-07-23,0,0.587870061398,1
