p,c1_z,c2_z,log_evidence
2,-1.0917576635308108,0.17627601103032461,-127.1516050136334
2,-0.4576194723109601,0.17627601103032461,-127.1517758911482
2,-0.007316223542630062,0.17627601103032461,-127.15189634288119
2,0.17627601103032461,1.0789919159472794,-127.1523447245812
2,0.17627601103032461,0.6424906385377123,-127.15256601996096
2,-0.4576194723109601,-0.007316223542630062,-127.15290208204246
2,-0.007316223542630062,1.0789919159472794,-127.15316102241333
2,0.17627601103032461,0.46525928951068574,-127.15331288270907
2,-0.2456593085899069,1.0789919159472794,-127.15333475295154
2,-1.0917576635308108,0.46525928951068574,-127.15338819523113
2,-0.8267251397441705,-0.007316223542630062,-127.15339775667537
2,-1.0917576635308108,0.6424906385377123,-127.15341364571218
2,0.46525928951068574,0.6424906385377123,-127.1534303769893
2,-0.007316223542630062,0.6424906385377123,-127.15367477941491
2,0.46525928951068574,1.0789919159472794,-127.1539519853739
2,-0.2456593085899069,0.6424906385377123,-127.1539886456537
2,-0.2456593085899069,-0.007316223542630062,-127.15413751610774
2,-0.007316223542630062,0.46525928951068574,-127.15420506757934
2,-0.2456593085899069,0.17627601103032461,-127.15434724377519
2,-0.2456593085899069,0.46525928951068574,-127.15435480869806
3,-1.0917576635308108,-0.8267251397441705,-128.91510895149978
3,-0.8267251397441705,1.0789919159472794,-129.06981933236366
3,-0.4576194723109601,-0.2456593085899069,-129.11093489124906
3,-1.0917576635308108,-0.4576194723109601,-129.1128284274415
3,-0.8267251397441705,-0.2456593085899069,-129.1185908758251
3,-0.8267251397441705,0.6424906385377123,-129.1190754024198
3,-0.4576194723109601,1.0789919159472794,-129.12129239143056
3,-0.8267251397441705,-0.4576194723109601,-129.1218640482528
3,-0.4576194723109601,0.6424906385377123,-129.12406479741136
3,-0.8267251397441705,0.46525928951068574,-129.12440838660632
3,-1.0917576635308108,-0.007316223542630062,-129.12446797835034
3,-0.8267251397441705,0.17627601103032461,-129.12542367663713
3,-1.0917576635308108,-0.2456593085899069,-129.1260485417697
3,-0.4576194723109601,0.46525928951068574,-129.12638691026478
3,-1.0917576635308108,1.0789919159472794,-129.1265179348407
3,-0.4576194723109601,0.17627601103032461,-129.12682553931546
3,-0.8267251397441705,-0.007316223542630062,-129.1268467784812
3,0.6424906385377123,1.0789919159472794,-129.126949595633
3,0.17627601103032461,1.0789919159472794,-129.1269559103371
3,-0.4576194723109601,-0.007316223542630062,-129.12709017786833
3,-0.007316223542630062,0.17627601103032461,-129.12723336830922
3,-1.0917576635308108,0.46525928951068574,-129.12729632553953
3,-1.0917576635308108,0.17627601103032461,-129.12732739251263
3,0.17627601103032461,0.6424906385377123,-129.12748332869387
3,0.46525928951068574,0.6424906385377123,-129.1275230016426
3,0.17627601103032461,0.46525928951068574,-129.12762562171503
3,-0.2456593085899069,1.0789919159472794,-129.12768506152852
3,-0.007316223542630062,1.0789919159472794,-129.1277013160337
3,-1.0917576635308108,0.6424906385377123,-129.12772527625867
3,0.46525928951068574,1.0789919159472794,-129.127732930026
3,-0.2456593085899069,-0.007316223542630062,-129.12778758422067
3,-0.2456593085899069,0.6424906385377123,-129.12783088404578
3,-0.007316223542630062,0.6424906385377123,-129.12787433899638
3,-0.2456593085899069,0.17627601103032461,-129.1279047085711
3,-0.2456593085899069,0.46525928951068574,-129.1279057910083
3,-0.007316223542630062,0.46525928951068574,-129.12790766850898
4,-1.0917576635308108,-0.8267251397441705,-129.56599332554856
4,-1.0917576635308108,-0.4576194723109601,-129.70729329843124
4,-0.8267251397441705,1.0789919159472794,-129.71119506155517
4,-0.4576194723109601,-0.2456593085899069,-129.7154770066789
4,-1.0917576635308108,-0.2456593085899069,-129.71746798188875
4,-1.0917576635308108,1.0789919159472794,-129.71765837308646
4,-0.8267251397441705,-0.2456593085899069,-129.71774783327723
4,-1.0917576635308108,-0.007316223542630062,-129.7177601744547
4,-0.4576194723109601,1.0789919159472794,-129.717862357929
4,-0.8267251397441705,-0.4576194723109601,-129.7178721600699
4,-0.8267251397441705,0.6424906385377123,-129.71792951196124
4,-1.0917576635308108,0.17627601103032461,-129.7180755307766
4,0.6424906385377123,1.0789919159472794,-129.7181346179544
4,-0.8267251397441705,0.46525928951068574,-129.718145748274
4,-0.8267251397441705,0.17627601103032461,-129.7181694528256
4,-0.4576194723109601,0.6424906385377123,-129.7181698681326
4,-1.0917576635308108,0.46525928951068574,-129.71820213033484
4,-0.4576194723109601,-0.007316223542630062,-129.71821163196577
4,0.46525928951068574,0.6424906385377123,-129.71822501907124
4,-0.007316223542630062,0.17627601103032461,-129.71822989508826
