evaluation_year,origin_date,target_date,actual_up,d_up_shapelet,d_down_shapelet,p_up,tau,shapelet_call
2025,2025-04-25,2025-04-28,1,0.5505629085979575,0.9124530428991711,0.5039237988136733,0.5831112071242511,0
2025,2025-04-28,2025-04-29,0,0.5123736652748261,1.2735480580351746,0.6472854346172412,0.5831112071242511,1
2025,2025-04-29,2025-04-30,0,0.5477387458176335,1.0558822290267666,0.5533385193036064,0.5831112071242511,0
2025,2025-04-30,2025-05-01,1,0.5467713807537495,1.3716367882160927,0.6537585145340605,0.5831112071242511,1
2025,2025-05-01,2025-05-02,0,0.530344243673035,1.0758329284664077,0.5724789568122641,0.5831112071242511,0
2025,2025-05-02,2025-05-05,1,0.5335586905098728,1.0225408341254232,0.552761832659119,0.5831112071242511,0
2025,2025-05-05,2025-05-06,1,0.546883577077765,1.0652790595194632,0.5570382786554025,0.5831112071242511,0
2025,2025-05-06,2025-05-07,1,0.5489528983698364,1.3649584972249191,0.650288547311628,0.5831112071242511,1
2025,2025-05-07,2025-05-08,0,0.5861972129090843,1.1091323550683487,0.5426991005093063,0.5831112071242511,0
2025,2025-05-08,2025-05-09,1,0.5685088364618075,1.0359319445572037,0.53155795258414,0.5831112071242511,0
2025,2025-05-09,2025-05-12,0,0.5263010071586796,1.0594815850493013,0.5700938012698289,0.5831112071242511,0
2025,2025-05-12,2025-05-13,0,0.5547873229818442,1.159643505425894,0.5819804159027878,0.5831112071242511,0
2025,2025-05-13,2025-05-14,0,0.5093415545834172,1.0343577039346286,0.574198112131791,0.5831112071242511,0
2025,2025-05-14,2025-05-15,1,0.48456384318405576,1.1280592430812126,0.6216056985860638,0.5831112071242511,1
2025,2025-05-15,2025-05-16,0,0.5663072093019359,0.868900978567648,0.47788375071550676,0.5831112071242511,0
2025,2025-05-21,2025-05-22,0,0.5959009515783835,1.0759419849074912,0.524621409520757,0.5831112071242511,0
2025,2025-05-22,2025-05-23,1,0.5330113396031699,1.0918377595423845,0.5757412166643682,0.5831112071242511,0
2025,2025-05-23,2025-05-26,0,0.49823019544736746,1.0108402762508735,0.5745965676438596,0.5831112071242511,0
2025,2025-05-27,2025-05-28,0,0.4832901455956896,0.9560683459504271,0.567616201420992,0.5831112071242511,0
2025,2025-06-12,2025-06-13,1,0.6516665260670017,1.1083441482052223,0.49421898196076264,0.5831112071242511,0
2025,2025-06-16,2025-06-17,1,0.47867430742007766,0.9409789165887187,0.5660508817289992,0.5831112071242511,0
2025,2025-06-19,2025-06-23,0,0.45108576062688094,1.175848630100222,0.6589373773830449,0.5831112071242511,1
2025,2025-06-23,2025-06-24,0,0.4942298020699849,1.1003879821282212,0.6061480079640436,0.5831112071242511,1
2025,2025-06-24,2025-06-25,1,0.5117826811361856,1.0549570974328495,0.579104995231026,0.5831112071242511,0
2025,2025-06-26,2025-06-27,0,0.5283497550692592,1.165093825323515,0.602570898196584,0.5831112071242511,1
2025,2025-07-03,2025-07-07,0,0.4877886789249936,1.099214207661915,0.6103086940496464,0.5831112071242511,1
2025,2025-10-08,2025-10-09,0,0.5930128734602141,0.9010597297202658,0.46885574556588205,0.5831112071242511,0
2025,2025-10-09,2025-10-10,1,0.5660275811379915,0.987914246966851,0.517510695916811,0.5831112071242511,0
2025,2025-10-10,2025-10-13,1,0.5259946264219637,0.7955860425342464,0.48333323777784293,0.5831112071242511,0
2025,2025-10-13,2025-10-14,1,0.4193318926793125,1.2308314092584334,0.6953392139827547,0.5831112071242511,1
2025,2025-10-14,2025-10-15,1,0.5781675410456385,1.1672165093665627,0.5675639790712561,0.5831112071242511,0
2025,2025-10-15,2025-10-16,1,0.4542301078675407,0.8667606252483859,0.5596002494684907,0.5831112071242511,0
2025,2025-10-16,2025-10-17,0,0.5385779356937993,0.7848354065975816,0.4705106207451091,0.5831112071242511,0
2025,2025-10-17,2025-10-20,1,0.4913735804846354,0.9849898450719019,0.5711649129602484,0.5831112071242511,0
2025,2025-10-20,2025-10-21,0,0.5886962311040158,0.9781528328371565,0.4975509441104947,0.5831112071242511,0
2025,2025-10-21,2025-10-22,0,0.4892043386350612,1.121812932171983,0.6164218317680203,0.5831112071242511,1
2025,2025-10-22,2025-10-23,1,0.5734087945611247,0.9559080295786925,0.5014625529169067,0.5831112071242511,0
2025,2025-10-23,2025-10-24,0,0.5286861121175176,0.8191450696635962,0.4891498482853851,0.5831112071242511,0
2025,2025-10-24,2025-10-27,0,0.5580667603103113,0.9612751789487374,0.5145612395481433,0.5831112071242511,0
2025,2025-10-27,2025-10-28,0,0.508961691381829,0.8899056643726418,0.527130968229096,0.5831112071242511,0
2025,2025-10-28,2025-10-29,0,0.4521110046911198,0.8517374612012618,0.5562313819782047,0.5831112071242511,0
2025,2025-10-29,2025-10-30,1,0.5461955673856412,1.0429715205322445,0.5502325070604914,0.5831112071242511,0
2025,2025-10-30,2025-10-31,1,0.556781189885299,0.8590852812831908,0.48165575957412987,0.5831112071242511,0
2025,2025-11-11,2025-11-12,1,0.5477049524269146,0.9026248156337595,0.5027761606001964,0.5831112071242511,0
2025,2025-11-12,2025-11-13,0,0.5575643875250935,1.2371719694829733,0.6047948156587915,0.5831112071242511,1
2025,2025-11-13,2025-11-14,0,0.6910328181633419,1.0280662469844801,0.43886470084693585,0.5831112071242511,0
2025,2025-11-14,2025-11-17,0,0.9653690253703577,1.352669104220993,0.3485489624592527,0.5831112071242511,0
2025,2025-11-19,2025-11-20,0,0.5645372177151692,0.9587080647289025,0.5089377441542049,0.5831112071242511,0
2025,2025-11-20,2025-11-21,1,0.6296780902186726,1.1881718059098063,0.5368373543909033,0.5831112071242511,0
2025,2025-11-21,2025-11-24,1,1.3023716764533682,0.9348428764916923,0.10208336880298893,0.5831112071242511,0
2025,2025-11-24,2025-11-25,1,0.49898585383768507,0.9849884716551195,0.5656510228314229,0.5831112071242511,0
2025,2025-11-25,2025-11-26,0,0.5279559342519142,1.0454196868252987,0.5643183707217153,0.5831112071242511,0
2025,2025-11-26,2025-11-27,1,0.5743807599646564,1.1323658186615015,0.5589495312779905,0.5831112071242511,0
2025,2025-11-28,2025-12-01,1,0.9081604011601399,1.0334509317677327,0.29324264141760215,0.5831112071242511,0
2025,2025-12-01,2025-12-02,1,0.5060036364791258,0.9297345283538861,0.5424383273620486,0.5831112071242511,0
2025,2025-12-02,2025-12-03,0,0.4487491008200142,0.9609023760387957,0.593998541740516,0.5831112071242511,1
2025,2025-12-03,2025-12-04,1,0.53049588885992,0.9261299707076613,0.5232513884093835,0.5831112071242511,0
2025,2025-12-04,2025-12-05,0,0.5445322264419719,1.3052861094322366,0.6351223306720721,0.5831112071242511,1
2025,2025-12-05,2025-12-08,0,0.9952372482429509,0.8703422536273704,0.20538056450057268,0.5831112071242511,0
2025,2025-12-12,2025-12-15,0,1.1531815843044022,1.1402143791791088,0.1882280100238242,0.5831112071242511,0
2025,2025-12-15,2025-12-16,1,0.5896568468712037,1.047825519241159,0.5199215404754275,0.5831112071242511,0
2025,2025-12-16,2025-12-17,1,0.6351892267322155,1.0142216185923199,0.4752079743559997,0.5831112071242511,0
2025,2025-12-18,2025-12-19,1,0.4499125871304916,1.104824616915802,0.6382724484762241,0.5831112071242511,1
2025,2025-12-29,2025-12-30,0,0.5948440080220888,1.0509724690781044,0.5171396195214332,0.5831112071242511,0
2025,2025-12-30,2025-12-31,0,0.6455271828724571,0.9079492019719266,0.4327474181339442,0.5831112071242511,0
