policy,window,status,year,train_n,train_available,test_n,mse,qlike,oos_r2_vs_train_mean,high_risk_auc,alert_count,alert_coverage,alert_precision,alert_recall,tp,fp,fn,tn,q80,beta
EXTENDED_ROLLING_475,475,OK,2025,475,1629,237,3.483619343005993e-08,0.3646416635932613,0.08213797873098994,0.8389673370417915,105,0.4430379746835443,0.7714285714285715,0.7105263157894737,81,24,33,99,4.5363194260735006e-05,"[0.0014693865206123209, 0.12868607964387763, 0.5042334874343117, 0.10234040257376187]"
EXTENDED_ROLLING_500,500,OK,2025,500,1629,237,3.486468886532988e-08,0.36598922767699665,0.08184294863142416,0.8479623824451411,108,0.45569620253164556,0.7870370370370371,0.7327586206896551,85,23,31,98,4.4718888496334524e-05,"[0.0014921390478092142, 0.13331320987758566, 0.49813841630268146, 0.09808309295109882]"
EXTENDED_ROLLING_525,525,OK,2025,525,1629,237,3.490839260207659e-08,0.3655050653805347,0.07997748262921256,0.8413399857448325,105,0.4430379746835443,0.780952380952381,0.7130434782608696,82,23,33,99,4.52591704371505e-05,"[0.0015222542982465492, 0.14270987213916014, 0.46879959406918037, 0.11501997372039865]"
EXTENDED_ROLLING_550,550,OK,2025,550,1629,237,3.488508782714443e-08,0.3624649787903535,0.07975135805067624,0.8361933361933362,102,0.43037974683544306,0.7647058823529411,0.7027027027027027,78,24,33,102,4.581570720376207e-05,"[0.001493224139807291, 0.14432133292530813, 0.4788727694057857, 0.1096563428757393]"
EXTENDED_ROLLING_575,575,OK,2025,575,1629,237,3.5086925803198755e-08,0.3592611696820145,0.07219568025255696,0.8463250071777203,96,0.4050632911392405,0.7708333333333334,0.6851851851851852,74,22,34,107,4.721502805526748e-05,"[0.001635006928900677, 0.1946204208430254, 0.438199172659386, 0.07436935570374842]"
EXTENDED_ROLLING_600,600,OK,2025,600,1629,237,3.5053156680079583e-08,0.34454087978988635,0.07069809694785079,0.8471603163191949,94,0.39662447257383965,0.7659574468085106,0.6728971962616822,72,22,35,108,4.793189532212557e-05,"[0.0015836273645909037, 0.2093785402928398, 0.49854676083641597, 0.01618230633435591]"
EXTENDED_ROLLING_625,625,OK,2025,625,1629,237,3.504562662206301e-08,0.3444887551980225,0.07227024900201096,0.8455354579385589,96,0.4050632911392405,0.7708333333333334,0.6851851851851852,74,22,34,107,4.720676789717232e-05,"[0.001512063119991156, 0.20853023184497055, 0.5034561587328589, 0.02204988601459898]"
EXTENDED_ROLLING_650,650,OK,2025,650,1629,237,3.5083649364134516e-08,0.3456210240502252,0.0713330731908548,0.845248349124318,96,0.4050632911392405,0.7708333333333334,0.6851851851851852,74,22,34,107,4.721502805526748e-05,"[0.0015442680497723185, 0.21374475612667987, 0.48798309798742484, 0.026376404001045878]"
EXTENDED_ROLLING_675,675,OK,2025,675,1629,237,3.5025595047251077e-08,0.3477421874213074,0.07332413469091303,0.835978835978836,96,0.4050632911392405,0.78125,0.6756756756756757,75,21,36,105,4.641752537538105e-05,"[0.0015484023342547107, 0.200894439548855, 0.4999575574709634, 0.02574587903295611]"
EXTENDED_ROLLING_700,700,OK,2025,700,1629,237,3.5005689422246857e-08,0.34906695768848,0.07418593098251058,0.836050336050336,96,0.4050632911392405,0.78125,0.6756756756756757,75,21,36,105,4.641752537538105e-05,"[0.0015610454475124, 0.19539134873657132, 0.501638002937104, 0.02717598605733823]"
