origin_week,target_week,pred_return,actual_return,forecast_up,actual_up,previous_up,pred_z,state,state_depth,state_support,tree_leaves,tree_max_depth,map_log_score
2024-10-21,2024-10-28,0.0040770093568009425,-0.003888021673558062,1,0,1,0.1718003053236329,ROOT,0,128,1,0,-182.63302663938617
2024-10-28,2024-11-04,0.002679025087715092,-0.01857607035999398,1,0,0,0.10090348071126397,ROOT,0,129,1,0,-183.59960508673265
2024-11-04,2024-11-11,0.0010085386100497115,-0.04579559720125692,1,0,0,0.01618708622578101,ROOT,0,130,1,0,-185.1134602347629
2024-11-11,2024-11-18,-0.0031154430328631712,0.05839254702336683,0,1,0,-0.19295489749154,ROOT,0,131,1,0,-189.0087195650941
2024-11-18,2024-11-25,0.008762236434084983,-0.0293432671307049,1,0,1,0.40940506934900706,2,1,21,7,3,-193.8894645050789
2024-11-25,2024-12-02,-0.010208298092564835,-0.001045430457928043,0,0,0,-0.5526591604711557,02,2,2,7,3,-196.26668938934114
2024-12-02,2024-12-09,0.0027074670948260215,0.006137724210707685,1,1,0,0.10234587747806442,1,1,92,7,3,-197.3659545500999
2024-12-09,2024-12-16,0.0019828072894378197,-0.009229028797720251,1,0,1,0.06559576500374033,1,1,93,7,3,-198.1533555272868
2024-12-16,2024-12-23,0.00356223299994257,-0.0004811715818837659,1,0,0,0.1456941395434935,1,1,94,7,3,-199.13984175819343
2024-12-23,2024-12-30,0.0025289804065190204,0.006837396908619175,1,1,0,0.09329417373835164,1,1,95,7,3,-199.93319723155918
