origin_week,target_week,n_train,omega,gamma,tau,beta,k_transformed,k_raw,p_ext_up,forecast_direction,actual_direction,previous_week_direction
2025-08-18,2025-08-25,181,5.17407382437e-06,0.979293901216,0.0206949077206,0.938282916681,0.570220862981,0.570610978886,0.599316797223,UP,UP,UP
2025-08-25,2025-09-01,182,5.14229691534e-06,0.978451996466,0.0215368494206,0.934960380292,0.57880830949,0.579243714515,0.611825628213,UP,UP,UP
2025-09-01,2025-09-08,183,5.11013059637e-06,0.97744501123,0.0225438730094,0.92971138564,0.58847972712,0.588965879467,0.625925964738,UP,UP,UP
2025-09-08,2025-09-15,184,5.06637274711e-06,0.976893304554,0.0230956268331,0.933421048503,0.591977561637,0.592480171263,0.631287553536,UP,UP,UP
2025-09-15,2025-09-22,185,5.02021666829e-06,0.976230914804,0.0237580668094,0.936482162939,0.596832009356,0.597358270276,0.638675997271,UP,UP,UP
2025-09-22,2025-09-29,186,4.97207306479e-06,0.97543944247,0.0245495921499,0.938617006293,0.603122598618,0.60368001807,0.648219308798,UP,UP,UP
2025-09-29,2025-10-06,187,4.92273084521e-06,0.974400022694,0.0255890676549,0.938259182536,0.611928985356,0.612530754095,0.661487795275,UP,UP,UP
2025-10-06,2025-10-13,188,4.8732848734e-06,0.973580913747,0.0264082310806,0.940926157121,0.617775186353,0.618405000184,0.670498561047,UP,UP,UP
2025-10-13,2025-10-20,189,4.83684188408e-06,0.973138754906,0.0268504290814,0.944910368551,0.619810402163,0.620447691536,0.673822069438,UP,DOWN,UP
2025-10-20,2025-10-27,190,4.88811406645e-06,0.974402523406,0.0255866015444,0.94649984637,0.609496929457,0.61007627829,0.658245294281,UP,DOWN,DOWN
2025-10-27,2025-11-03,191,5.02446328068e-06,0.976839228979,0.0231497446503,0.941726793215,0.593993403221,0.594488105343,0.634667236162,UP,UP,DOWN
2025-11-03,2025-11-10,192,5.00843743617e-06,0.976857136843,0.0231318527019,0.945862841423,0.592139955911,0.592622364057,0.632077628078,UP,UP,UP
2025-11-10,2025-11-17,193,4.98274614406e-06,0.976684134199,0.0233048821003,0.950071719881,0.59263359128,0.593116057901,0.633002466492,UP,DOWN,UP
2025-11-17,2025-11-24,194,4.97874171772e-06,0.976898363804,0.0230906551834,0.953699073759,0.588709640894,0.589169276339,0.627282013373,UP,UP,DOWN
2025-11-24,2025-12-01,195,4.95714704051e-06,0.976252093976,0.0237369505772,0.950689289707,0.597250932443,0.59775222591,0.639964728601,UP,DOWN,UP
2025-12-01,2025-12-08,196,4.95753622291e-06,0.976536362568,0.0234526798494,0.954064268449,0.592657078074,0.593132242577,0.633213979985,UP,UP,DOWN
2025-12-08,2025-12-15,197,4.92709930474e-06,0.976158044192,0.023831030986,0.956954513286,0.596964754843,0.59745947298,0.639824211459,UP,UP,UP
2025-12-15,2025-12-22,198,4.89968188177e-06,0.975914601219,0.0240745028725,0.960856656418,0.598887355072,0.599389321341,0.64290816162,UP,UP,UP
2025-12-22,2025-12-29,199,4.87650902856e-06,0.975212547162,0.0247765844158,0.957668607263,0.607764669486,0.608308935494,0.656199925997,UP,DOWN,UP
