target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,training_mse_scaled,training_epochs,train_start_week_end,train_end_week_end,arima_predicted_delta_gold,arima_direction
2025-06-06,100,13.902731878149666,62.5,UP,UP,DOWN,0.0208764906876044,1500,2023-07-07,2025-05-30,20.292413596052484,UP
2025-06-13,100,10.308259789830146,64.14999999999964,UP,UP,UP,0.02107952864438518,1500,2023-07-14,2025-06-06,21.717018436411763,UP
2025-06-20,100,17.01848316480462,-65.04999999999973,UP,DOWN,UP,0.02129334885654288,1500,2023-07-21,2025-06-13,22.59145251545806,UP
2025-06-27,100,15.80528555611886,-68.90000000000009,UP,DOWN,DOWN,0.0219249287272276,1500,2023-07-28,2025-06-20,37.501427750645234,UP
2025-07-04,100,17.798734921854475,63.75,UP,UP,DOWN,0.02255030390514467,1500,2023-08-04,2025-06-27,39.72802371139869,UP
2025-07-11,100,4.409687336420873,-13.949999999999818,UP,DOWN,UP,0.02258799172316598,1500,2023-08-11,2025-07-04,24.831802846427763,UP
2025-07-18,100,18.673213853315303,15.549999999999727,UP,UP,DOWN,0.02246326451567103,1500,2023-08-18,2025-07-11,18.912509897578275,UP
2025-07-25,100,16.955468469050004,-5.0,UP,DOWN,UP,0.0222511617514958,1500,2023-08-25,2025-07-18,19.77578841045306,UP
2025-08-01,100,15.38971528274152,-51.69999999999982,UP,DOWN,DOWN,0.02230617220410127,1500,2023-09-01,2025-07-25,1.9129335766601798,UP
2025-08-08,100,26.613340141609257,102.19999999999982,UP,UP,DOWN,0.022702167467968704,1500,2023-09-08,2025-08-01,24.740448998640204,UP
2025-08-15,100,10.861666553474862,-52.75,UP,DOWN,UP,0.02295242611151501,1500,2023-09-15,2025-08-08,10.17295654214422,UP
2025-08-22,100,9.387426669109601,-15.949999999999818,UP,DOWN,DOWN,0.023187206603096394,1500,2023-09-22,2025-08-15,19.334900147475764,UP
2025-08-29,100,20.45594704493405,79.09999999999991,UP,UP,DOWN,0.023175396290131604,1500,2023-09-29,2025-08-22,19.293369876606448,UP
2025-09-05,100,0.786159020468574,141.0999999999999,UP,UP,UP,0.0228153479713164,1500,2023-10-06,2025-08-29,-13.781741000238071,DOWN
2025-09-12,100,8.354157911336728,96.75,UP,UP,UP,0.023817883914350083,1500,2023-10-13,2025-09-05,-4.196822247914497,DOWN
2025-09-19,100,9.1731252070973,12.5,UP,UP,UP,0.02446839116032738,1500,2023-10-20,2025-09-12,5.301327648387996,UP
2025-09-26,100,2.0597982912167936,90.90000000000009,UP,UP,UP,0.023834141000125465,1500,2023-10-27,2025-09-19,12.919071454727145,UP
2025-10-03,100,11.390062389333565,111.94999999999982,UP,UP,UP,0.024603936815199488,1500,2023-11-03,2025-09-26,22.757494179702007,UP
2025-10-10,100,23.58894376763405,137.35000000000036,UP,UP,UP,0.025391282399682732,1500,2023-11-10,2025-10-03,20.143471694537766,UP
2025-10-17,100,29.86398303985993,340.1999999999998,UP,UP,UP,0.02593598735335607,1500,2023-11-17,2025-10-10,37.87579218406336,UP
2025-10-24,100,137.27811158999552,-268.5999999999999,UP,DOWN,UP,0.010715670122258056,1500,2023-11-24,2025-10-17,123.4434908677622,UP
2025-10-31,100,-22.914930497122327,-56.45000000000027,DOWN,DOWN,DOWN,0.008079163641589601,1500,2023-12-01,2025-10-24,104.45669516392672,UP
2025-11-07,100,-0.7303947183384025,-6.799999999999727,DOWN,DOWN,DOWN,0.008104108780766719,1500,2023-12-08,2025-10-31,120.05693332932424,UP
2025-11-14,100,34.71210158259515,154.79999999999973,UP,UP,DOWN,0.008174150038236475,1500,2023-12-15,2025-11-07,30.348343837355515,UP
2025-11-21,100,20.87708546593177,-126.89999999999964,UP,DOWN,UP,0.00836417943320351,1500,2023-12-22,2025-11-14,38.94491327315791,UP
2025-11-28,100,22.064762518498924,125.09999999999945,UP,UP,DOWN,0.008707259397547117,1500,2023-12-29,2025-11-21,56.79794127393325,UP
2025-12-05,100,5.634663122826225,64.65000000000055,UP,UP,UP,0.008863401932747648,1500,2024-01-05,2025-11-28,2.355505844511754,UP
2025-12-12,100,22.276888456716506,95.44999999999982,UP,UP,UP,0.00890776183267901,1500,2024-01-12,2025-12-05,48.38022440279019,UP
2025-12-19,100,19.543439682536473,8.050000000000182,UP,UP,UP,0.008973873592924392,1500,2024-01-19,2025-12-12,-7.543055696262854,DOWN
2025-12-26,100,22.984635605057463,153.25,UP,UP,UP,0.008953235807204857,1500,2024-01-26,2025-12-19,61.57627911764848,UP
