target_week,p_up,forecast_up,actual_up,p26,p52,w26_before,w52_before,loss26,loss52,w26_after,w52_after
2025-07-28,1.0,1,1,1.0,1.0,0.5811603596435031,0.4188396403564969,0.0,0.0,0.5771023416613279,0.42289765833867204
2025-08-04,0.4513565216444826,0,1,0.375,0.555555555555556,0.5771023416613279,0.42289765833867204,1.0,0.0,0.34251940875142256,0.6574805912485776
2025-08-11,0.52293313303093,1,0,0.375,0.6,0.34251940875142256,0.6574805912485776,0.0,1.0,0.581805844051597,0.418194155948403
2025-08-18,0.7909029220257985,1,1,1.0,0.5,0.581805844051597,0.418194155948403,0.0,0.0,0.5777155518490171,0.4222844481509828
2025-08-25,1.0,1,1,1.0,1.0,0.5777155518490171,0.4222844481509828,0.0,0.0,0.5738297742565662,0.42617022574343366
2025-09-01,0.46191629603977935,0,1,0.375,0.578947368421053,0.5738297742565662,0.42617022574343366,1.0,0.0,0.3396939934508507,0.6603060065491493
2025-09-08,0.4087608611970924,0,1,0.0,0.619047619047619,0.3396939934508507,0.6603060065491493,1.0,0.0,0.17618079809097392,0.8238192019090261
2025-09-15,0.6152806005567996,1,1,0.375,0.666666666666667,0.17618079809097392,0.8238192019090261,1.0,0.0,0.09428919343413936,0.9057108065658607
2025-09-22,0.7097957526936122,1,1,0.666666666666667,0.714285714285714,0.09428919343413936,0.9057108065658607,0.0,0.0,0.11457473376243238,0.8854252662375676
2025-09-29,0.7786436834406081,1,1,1.0,0.75,0.11457473376243238,0.8854252662375676,0.0,0.0,0.13384599707431075,0.8661540029256891
2025-10-06,0.5669229985371553,1,1,1.0,0.5,0.13384599707431075,0.8661540029256891,0.0,0.0,0.1521536972205952,0.8478463027794048
2025-10-13,0.1521536972205952,0,1,1.0,0.0,0.1521536972205952,0.8478463027794048,0.0,1.0,0.33648202465085386,0.663517975349146
2025-10-20,0.6682410123254269,1,0,1.0,0.5,0.33648202465085386,0.663517975349146,1.0,1.0,0.3446579234183112,0.6553420765816887
2025-10-27,0.8851140255272296,1,0,0.666666666666667,1.0,0.3446579234183112,0.6553420765816887,1.0,1.0,0.35242502724739566,0.6475749727526043
2025-11-03,0.8993071350721726,1,1,0.714285714285714,1.0,0.35242502724739566,0.6475749727526043,0.0,0.0,0.3598037758850259,0.6401962241149741
2025-11-10,0.4359803775885026,0,1,0.5,0.4,0.3598037758850259,0.6401962241149741,0.0,1.0,0.599168973312753,0.40083102668724707
2025-11-17,0.229046300964141,0,0,0.0,0.571428571428571,0.599168973312753,0.40083102668724707,0.0,1.0,0.7873765691271817,0.21262343087281835
2025-11-24,0.6063117154364092,1,1,0.5,1.0,0.7873765691271817,0.21262343087281835,0.0,0.0,0.7730077406708226,0.2269922593291774
2025-12-01,1.0,1,0,1.0,1.0,0.7730077406708226,0.2269922593291774,1.0,1.0,0.7593573536372814,0.2406426463627185
2025-12-08,0.2406426463627185,0,1,0.0,1.0,0.7593573536372814,0.2406426463627185,1.0,0.0,0.5353598350281744,0.46464016497182553
2025-12-15,0.5892266391713625,1,1,0.666666666666667,0.5,0.5353598350281744,0.46464016497182553,0.0,0.0,0.5335918432767657,0.46640815672323427
2025-12-22,0.8445306144255886,1,1,1.0,0.666666666666667,0.5335918432767657,0.46640815672323427,0.0,0.0,0.5319122511129274,0.46808774888707255
2025-12-29,0.666666666666667,1,0,0.666666666666667,0.666666666666667,0.5319122511129274,0.46808774888707255,1.0,1.0,0.5303166385572811,0.46968336144271894
