"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
52,"2023-08-14","2023-08-07",0.54,0,0,0,0,6,20,12
52,"2023-08-21","2023-08-14",0.54,0.5,1,1,0,6,20,13
52,"2023-08-28","2023-08-21",0.54,0,0,1,1,6,20,14
52,"2023-09-04","2023-08-28",0.54,0.4,0,0,1,6,20,14
52,"2023-09-11","2023-09-04",0.54,0,0,1,0,6,20,14
52,"2023-09-18","2023-09-11",0.54,0,0,1,1,6,22,13
52,"2023-09-25","2023-09-18",0.54,0,0,0,1,6,22,13
52,"2023-10-02","2023-09-25",0.54,1,1,0,0,6,22,13
52,"2023-10-09","2023-10-02",0.54,0,0,1,0,6,22,13
52,"2023-10-16","2023-10-09",0.54,1,1,1,1,6,24,11
52,"2023-10-23","2023-10-16",0.54,0.4,0,1,1,6,22,9
52,"2023-10-30","2023-10-23",0.54,0.5,1,1,1,6,19,9
52,"2023-11-06","2023-10-30",0.54,0.5,1,0,1,6,22,9
52,"2023-11-13","2023-11-06",0.54,0,0,1,0,6,22,9
52,"2023-11-20","2023-11-13",0.54,0.5,1,1,1,6,19,7
52,"2023-11-27","2023-11-20",0.54,0,0,1,1,6,19,6
52,"2023-12-04","2023-11-27",0.54,0.466666666666667,0,0,1,6,14,5
52,"2023-12-11","2023-12-04",0.54,0.454545454545455,0,1,0,6,14,5
52,"2023-12-18","2023-12-11",0.54,0.75,1,1,1,6,14,5
52,"2023-12-25","2023-12-18",0.54,0.444444444444444,0,1,1,6,18,6
52,"2024-01-01","2023-12-25",0.54,0.333333333333333,0,0,1,6,20,6
52,"2024-01-08","2024-01-01",0.54,0.454545454545455,0,0,0,6,22,6
52,"2024-01-15","2024-01-08",0.54,0,0,0,0,6,22,6
52,"2024-01-22","2024-01-15",0.54,0,0,0,0,6,22,6
52,"2024-01-29","2024-01-22",0.54,1,1,1,0,6,22,8
52,"2024-02-05","2024-01-29",0.54,0.5,1,0,1,6,22,8
52,"2024-02-12","2024-02-05",0.54,0.416666666666667,0,0,0,6,22,9
52,"2024-02-19","2024-02-12",0.54,1,1,1,0,6,22,8
52,"2024-02-26","2024-02-19",0.54,1,1,1,1,6,23,10
52,"2024-03-04","2024-02-26",0.54,0.333333333333333,0,1,1,6,23,10
52,"2024-03-11","2024-03-04",0.54,0.5,1,0,1,6,23,10
52,"2024-03-18","2024-03-11",0.54,0.444444444444444,0,1,0,6,20,10
52,"2024-03-25","2024-03-18",0.54,1,1,1,1,6,19,10
52,"2024-04-01","2024-03-25",0.54,1,1,1,1,6,18,7
52,"2024-04-08","2024-04-01",0.54,0.166666666666667,0,1,1,6,19,8
52,"2024-04-15","2024-04-08",0.54,0.285714285714286,0,1,1,6,16,6
52,"2024-04-22","2024-04-15",0.54,0.333333333333333,0,0,1,6,16,5
52,"2024-04-29","2024-04-22",0.54,0.4,0,0,0,6,18,6
52,"2024-05-06","2024-04-29",0.54,0,0,1,0,6,15,6
