origin_week,target_week,n_train,omega,a,b,g,slack,lambda_last,lambda_forecast,theta,psi,realp_forecast,historical_mean_realp,previous_realp,forecast_direction,actual_direction,previous_week_direction,historical_mean_realp_direction,previous_realp_direction,actual_realp,actual_return_log,converged_starts,optimizer_nit
2023-05-01,2023-05-08,62,0.08631072561173231,3.4818828434386756e-06,0.4086947642105133,0.024608637977373334,0.56669311592927,0.14012956805042326,0.15863551037200319,0.570754540097016,-0.4621546031817375,0.49744040875051043,0.5016555764089813,0.538776430825021,DOWN,DOWN,UP,UP,UP,0.488099562979334,-0.003316453030582,5,56
2023-05-08,2023-05-15,63,0.08705144915969215,3.5135486041384776e-06,0.39986616005491715,0.02828345618938847,0.5718468702070902,0.15781389097882834,0.14671107708511863,0.5731496693385894,-0.48014666504197545,0.5027068349514534,0.5014404015926376,0.488099562979334,UP,DOWN,DOWN,UP,DOWN,0.438390856464312,-0.016587296070642,5,49
2023-05-15,2023-05-22,64,0.08690292746573859,3.5228122126185426e-06,0.4007958804738165,0.025846029840920444,0.5733545668730505,0.1463524706794251,0.14433676605146417,0.5695277653538067,-0.46322194170932707,0.5026678083234025,0.5004552524500075,0.438390856464312,UP,DOWN,DOWN,UP,DOWN,0.434952211231002,-0.016342778836046,5,45
2023-05-22,2023-05-29,65,0.08641807537918329,3.5253915096124478e-06,0.4038335588420177,0.022388555949171374,0.5737743598173013,0.14379540074502703,0.13996116914839446,0.5632765989549503,-0.42911950101823443,0.5032165318880626,0.4994475133543305,0.434952211231002,UP,UP,DOWN,DOWN,DOWN,0.505491297984561,0.001396934146804,5,47
2023-05-29,2023-06-05,66,0.08572983221938292,3.5111229372061414e-06,0.4081492137196923,0.02039519386590456,0.571452081291466,0.13956465211600333,0.13764496749574084,0.562558190328273,-0.42462156105158244,0.5041111693593372,0.49953908584872797,0.505491297984561,UP,UP,UP,DOWN,UP,0.528469203032231,0.006399937036326,5,44
2023-06-05,2023-06-12,67,0.08348959988815495,3.414803527225477e-06,0.41723103288400404,0.02698991650200728,0.5557756358104614,0.136559885143952,0.1303872754017344,0.565805600514284,-0.4452262952871395,0.5077537569345858,0.4999708786425116,0.528469203032231,UP,DOWN,UP,DOWN,UP,0.494612344083347,-0.001449297297259,5,54
2023-06-12,2023-06-19,68,0.0840465028647521,3.4387594503355763e-06,0.41446663789448035,0.025855346266574084,0.5596745770794953,0.13063346143637614,0.14327098860534637,0.56368635779273,-0.4320134615139976,0.5017913620708019,0.4998920766637004,0.494612344083347,UP,DOWN,DOWN,DOWN,DOWN,0.406018300945642,-0.018899433698857,5,45
2023-06-19,2023-06-26,69,0.08307550174469151,3.4476958142939517e-06,0.42065923925073107,0.0182082999218696,0.561129013131585,0.14210436244364946,0.1272034550166107,0.5546770866313304,-0.3820184966118003,0.506083013982058,0.4985315871605401,0.406018300945642,UP,DOWN,DOWN,DOWN,DOWN,0.495466417925982,-0.000963252700401,5,57
2023-06-26,2023-07-03,70,0.08012797806229897,3.3428713922135296e-06,0.4395165990457713,0.016415015892276973,0.5440650421905596,0.12597168111305135,0.12856442085347514,0.5496627246120762,-0.3495840444242366,0.5047186544010587,0.49848779902861784,0.495466417925982,UP,UP,DOWN,DOWN,DOWN,0.514302167537442,0.002954575938196,5,49
2023-07-03,2023-07-10,71,0.07725066299299879,4.831542102657075e-06,0.4580370741401655,0.013796217366485276,0.5281618769512465,0.127376606163487,0.1245624749385863,0.5487224342721252,-0.3430576989309537,0.5059903182465492,0.4987105366132492,0.514302167537442,UP,UP,UP,DOWN,UP,0.574309838997256,0.015548732686116,5,65
2023-07-10,2023-07-17,72,0.07415140697973023,3.109963636682016e-06,0.47437253283424874,0.019462874193246132,0.5061614830088684,0.12315030630794185,0.12378109751936756,0.5609920832653774,-0.4216790214239196,0.5087961911926318,0.4997605269241381,0.574309838997256,UP,UP,UP,DOWN,UP,0.517816214572369,0.003313394778487,5,68
2023-07-17,2023-07-24,73,0.06970769335041448,2.915482753773979e-06,0.4977284603670362,0.02775984747930422,0.47450877667090574,0.12178087346758637,0.1159909126695419,0.5610840621829303,-0.4226773512066526,0.5120573304517262,0.5000078651111002,0.517816214572369,UP,DOWN,UP,UP,UP,0.493890734156854,-0.001407752052534,5,45
2023-07-24,2023-07-31,74,0.06956443782314976,2.9092018686356318e-06,0.49853805528597106,0.027972492186591348,0.4734865433255689,0.11592293896606834,0.1302264259844403,0.5576380721571842,-0.40051165084296914,0.5054808713027763,0.49992520117928607,0.493890734156854,UP,DOWN,DOWN,DOWN,DOWN,0.456848739783676,-0.008354488574379,5,59
2023-07-31,2023-08-07,75,0.06733257092863991,2.848727580030522e-06,0.5134379223422602,0.022915165832728294,0.4636440630974315,0.12912855310130725,0.11925443220323269,0.5500702901510306,-0.35353700509713365,0.5079094353453405,0.49935084836067795,0.456848739783676,UP,DOWN,DOWN,DOWN,DOWN,0.410878746006376,-0.015049117420295,5,47
2023-08-07,2023-08-14,76,0.06269958974844846,4.678782556458395e-06,0.5445858816594407,0.019010330224193565,0.4363991093338093,0.11725894243941157,0.11028489055617109,0.5319462215969928,-0.23655880394764428,0.5058573597935281,0.4981867417507529,0.410878746006376,UP,DOWN,DOWN,DOWN,DOWN,0.417957153102638,-0.012862670302119,5,43
2023-08-14,2023-08-21,77,0.05656355051129087,4.72842583494186e-06,0.5861490840231142,0.016306039618369,0.39754014793268194,0.10742972617290913,0.10379048906511894,0.5145565781902419,-0.1226954953955773,0.5018219527170479,0.49714479904103714,0.417957153102638,UP,UP,DOWN,DOWN,DOWN,0.565972010156998,0.013238788245662,5,53
2023-08-21,2023-08-28,78,0.05581945485352661,2.413238242200687e-06,0.5911992104286778,0.016032319648956985,0.3927660566841229,0.10342056615420073,0.11513850599073241,0.5254931510553603,-0.19428276322657378,0.5031237239577014,0.4980271991835495,0.565972010156998,UP,UP,UP,DOWN,UP,0.588203463039053,0.013323594935203,5,43
2023-08-28,2023-09-04,79,0.04826472938187927,0.030023640356222535,0.606480281374285,0.024702582409718978,0.3387934958597735,0.11214598828567467,0.09743777125149439,0.5350928508330254,-0.2556509119275925,0.5101827957563887,0.4991686708779229,0.588203463039053,UP,DOWN,UP,DOWN,UP,0.431878578317773,-0.010949917915901,5,38
2023-09-04,2023-09-11,80,0.04425419523711296,0.03042917393008022,0.630572780906442,0.030008134078519554,0.3089899110849584,0.0952435480777811,0.10024365663246171,0.5221004374433562,-0.17004164895440105,0.5050548407723536,0.4983275447209211,0.431878578317773,UP,UP,DOWN,DOWN,DOWN,0.516338134155529,0.002425235853143,5,46
