loss_type,eta,alpha,n,accuracy,balanced_accuracy,brier,log_loss,actual_up,actual_down,forecast_up,forecast_down,up_sensitivity,down_sensitivity,tp,tn,fp,fn,always_up_accuracy,mean_p_up,min_p_up,max_p_up
ZERO_ONE,0.5,0.02,43,0.5581395348837209,0.5712719298245614,0.294889951697539,2.558560560444193,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.42614244284320907,0.0,1.0
ZERO_ONE,1.0,0.2,43,0.5581395348837209,0.5712719298245614,0.29585935731552815,2.572755953841798,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.4244566743084762,0.0,1.0
ZERO_ONE,2.0,0.2,43,0.5581395348837209,0.5712719298245614,0.30068613974261027,2.5948231076281165,24,19,17,26,0.4583333333333333,0.6842105263157895,11,13,6,13,0.5581395348837209,0.42522232650092423,0.0,1.0
BRIER,0.25,0.0,43,0.5348837209302325,0.555921052631579,0.2898596831179807,2.5452120096277255,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.41762409410858525,0.0,1.0
BRIER,0.5,0.0,43,0.5348837209302325,0.555921052631579,0.2920844740343766,2.547891886419674,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.4191667604908062,0.0,1.0
BRIER,1.0,0.0,43,0.5348837209302325,0.555921052631579,0.29795772992630004,2.5598396209357945,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.4209438871947277,0.0,1.0
BRIER,2.0,0.05,43,0.5348837209302325,0.555921052631579,0.30382575832176956,2.5838602433087527,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.4208459959837078,0.0,1.0
BRIER,2.0,0.02,43,0.5348837209302325,0.555921052631579,0.306137720841338,2.590678692011864,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.4207400070080195,0.0,1.0
BRIER,2.0,0.01,43,0.5348837209302325,0.555921052631579,0.30743688992810353,2.5946396414966992,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.420528440590293,0.0,1.0
BRIER,2.0,0.0,43,0.5348837209302325,0.555921052631579,0.3093135523694249,2.600492410952682,24,19,14,29,0.375,0.7368421052631579,9,14,5,15,0.5581395348837209,0.4202191688895662,0.0,1.0
BRIER,0.25,0.2,43,0.5348837209302325,0.5504385964912281,0.28931844858869,2.5464417086252467,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.41642943656215475,0.0,1.0
BRIER,0.25,0.1,43,0.5348837209302325,0.5504385964912281,0.2894292942379548,2.545956105268477,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.41696453967573005,0.0,1.0
BRIER,0.5,0.2,43,0.5348837209302325,0.5504385964912281,0.2904191416445591,2.548432520319062,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.41699893014505174,0.0,1.0
BRIER,0.5,0.1,43,0.5348837209302325,0.5504385964912281,0.29083676551729803,2.548112012257721,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.41799382216852615,0.0,1.0
ZERO_ONE,0.25,0.02,43,0.5348837209302325,0.5504385964912281,0.2918477745090489,2.5478333541969422,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.4215785619673212,0.0,1.0
BRIER,1.0,0.2,43,0.5348837209302325,0.5504385964912281,0.29293380192896956,2.5537386477182835,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.4179400856664575,0.0,1.0
ZERO_ONE,0.25,0.01,43,0.5348837209302325,0.5504385964912281,0.2930528572856609,2.5498214928705085,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.4208906977799449,0.0,1.0
BRIER,1.0,0.1,43,0.5348837209302325,0.5504385964912281,0.29437273326803015,2.5555513866644857,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.4194507771707501,0.0,1.0
ZERO_ONE,0.5,0.01,43,0.5348837209302325,0.5504385964912281,0.2970355192148136,2.5629594122168626,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.42454229331969884,0.0,1.0
