evaluation_year,origin_date,target_date,target_month,momentum_origin_month,momentum_direction,momentum_forecast,momentum_rw_reference,actual_direction,actual_high_risk,target_close_return,target_dr,high_risk_threshold,sqrt_normalized_risk_score
2024,2024-11-12,2024-11-13,2024-11,2024-10,UP,2795.090410352186,2690.0,DOWN,1,-0.015899022102855088,6.276871910312739e-05,5.513863621481717e-05,1.0172268720625595
2024,2024-11-13,2024-11-14,2024-11,2024-10,UP,2795.090410352186,2690.0,UP,0,0.0007637656550748166,5.189396547413205e-05,5.513863621481717e-05,1.0251238000624374
2024,2024-11-25,2024-11-26,2024-11,2024-10,UP,2795.090410352186,2690.0,UP,0,0.004789637587219778,4.1934771661655685e-05,5.513863621481717e-05,1.0320538446216627
2025,2025-04-03,2025-04-07,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.03404121468301403,0.00018034057712180493,5.308574220289716e-05,1.2463030134438526
2025,2025-04-07,2025-04-08,2025-04,2025-03,UP,3104.385047925515,2983.0,UP,1,0.0032737305747365447,9.802448607826128e-05,5.308574220289716e-05,1.6137209460912876
2025,2025-04-08,2025-04-09,2025-04,2025-03,UP,3104.385047925515,2983.0,UP,1,0.03945978418569006,0.00019657838203314653,5.308574220289716e-05,1.447582444859196
2025,2025-04-09,2025-04-10,2025-04,2025-03,UP,3104.385047925515,2983.0,UP,1,0.029078754505882178,0.00011608852200047437,5.308574220289716e-05,2.035066999056528
2025,2025-04-10,2025-04-21,2025-04,2025-03,UP,3104.385047925515,2983.0,UP,1,0.08064114618599068,8.12484810916071e-05,5.308574220289716e-05,1.8282495165488846
2025,2025-04-21,2025-04-22,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.034757573216021714,0.0003483535981786625,5.308574220289716e-05,1.5910970510440585
2025,2025-04-22,2025-04-23,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.008406166291870833,0.00022341930120836084,5.308574220289716e-05,2.7003420889516714
2025,2025-04-23,2025-04-24,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.002517685060878891,0.00011498206245260041,5.308574220289716e-05,2.5293271534244157
2025,2025-04-24,2025-04-25,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.00481319742769609,9.387590301071524e-05,5.308574220289716e-05,2.014688141828417
2025,2025-04-25,2025-04-28,2025-04,2025-03,UP,3104.385047925515,2983.0,UP,1,0.00042208086489934607,6.847382181439755e-05,5.308574220289716e-05,1.895519765322181
2025,2025-04-28,2025-04-29,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,0,-0.0033211588149268684,5.1289031991672105e-05,5.308574220289716e-05,1.7548312720152108
2025,2025-04-29,2025-04-30,2025-04,2025-03,UP,3104.385047925515,2983.0,DOWN,1,-0.02372630105569833,0.00014897006726618856,5.308574220289716e-05,1.3286465170455453
2025,2025-04-30,2025-05-01,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.00797045542927618,8.970056949885022e-05,5.308574220289716e-05,1.656849879888474
2025,2025-05-01,2025-05-02,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.0003103485915571044,7.426791966282883e-05,5.308574220289716e-05,1.4094839655249696
2025,2025-05-02,2025-05-05,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.032244422713877584,6.716067918042307e-05,5.308574220289716e-05,1.3209755834076984
2025,2025-05-05,2025-05-06,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.00475874012392456,0.00019593651544361549,5.308574220289716e-05,1.2932522962379227
2025,2025-05-06,2025-05-07,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.006020530445602043,7.235617291605944e-05,5.308574220289716e-05,1.9974211566209599
2025,2025-05-07,2025-05-08,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.02629238430861402,0.00017456292619588245,5.308574220289716e-05,1.4285849589742612
2025,2025-05-08,2025-05-09,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,0,0.0060563331990222975,4.477139336507046e-05,5.308574220289716e-05,1.9531660272276754
2025,2025-05-09,2025-05-12,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.027973319419265355,0.00020124775110866546,5.308574220289716e-05,1.3568278917685463
2025,2025-05-12,2025-05-13,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.002765577460270764,5.6239247896841226e-05,5.308574220289716e-05,2.2000244920948635
2025,2025-05-13,2025-05-14,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.02416411804345197,0.00010506254563061512,5.308574220289716e-05,1.4138064064021858
2025,2025-05-14,2025-05-15,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.019298094613999204,8.339161232951348e-05,5.308574220289716e-05,1.6831302530045174
2025,2025-05-15,2025-05-16,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.0010153138845878503,0.00013897381639451078,5.308574220289716e-05,1.4622276619463004
2025,2025-05-16,2025-05-19,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,1,0.0007320017458810427,6.957541206397284e-05,5.308574220289716e-05,1.842686354247588
2025,2025-05-19,2025-05-20,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,0,0.029423813091489014,4.805148035865413e-05,5.308574220289716e-05,1.3738872992472442
2025,2025-05-20,2025-05-21,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,0,0.008379134129565235,4.876860566904087e-05,5.308574220289716e-05,1.2482598574220956
2025,2025-05-21,2025-05-22,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.009392512319758468,9.150391843683899e-05,5.308574220289716e-05,1.162421100283284
2025,2025-05-22,2025-05-23,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,0,0.015019356558107922,4.540851106129031e-05,5.308574220289716e-05,1.3459697680932492
2025,2025-05-23,2025-05-26,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,0,-0.001969679519458176,2.7664619982139356e-05,5.308574220289716e-05,1.0052287106952285
2025,2025-05-27,2025-05-28,2025-05,2025-04,UP,3408.33683863975,3218.0,DOWN,1,-0.006688988150796652,8.795843908422623e-05,5.308574220289716e-05,1.0267825404159314
2025,2025-05-28,2025-05-29,2025-05,2025-04,UP,3408.33683863975,3218.0,UP,0,0.005961450832419483,3.9811785219565654e-05,5.308574220289716e-05,1.183262990666017
2025,2025-06-12,2025-06-13,2025-06,2025-05,UP,3460.6133308545463,3309.0,UP,1,0.001964883453431402,6.58461804929131e-05,5.308574220289716e-05,1.0213680065744324
2025,2025-06-16,2025-06-17,2025-06,2025-05,UP,3460.6133308545463,3309.0,UP,0,0.0011567142346879684,4.665388480230179e-05,5.308574220289716e-05,1.0772584091150041
2025,2025-06-19,2025-06-23,2025-06,2025-05,UP,3460.6133308545463,3309.0,DOWN,1,-0.0010076590164010653,0.00014705258556075668,5.308574220289716e-05,1.0327751215025338
2025,2025-06-23,2025-06-24,2025-06,2025-05,UP,3460.6133308545463,3309.0,DOWN,1,-0.007214528458464221,8.156526816717648e-05,5.308574220289716e-05,1.4241718835589288
2025,2025-06-24,2025-06-25,2025-06,2025-05,UP,3460.6133308545463,3309.0,UP,0,0.0028740975312599197,2.0440780262542322e-05,5.308574220289716e-05,1.209459793898723
2025,2025-06-26,2025-06-27,2025-06,2025-05,UP,3460.6133308545463,3309.0,DOWN,1,-0.003935545889948485,9.334746233815525e-05,5.308574220289716e-05,1.0771802717809034
2025,2025-06-27,2025-06-30,2025-06,2025-05,UP,3460.6133308545463,3309.0,UP,0,0.010910852292585128,3.795865352565442e-05,5.308574220289716e-05,1.259058007218982
2025,2025-07-02,2025-07-03,2025-07,2025-06,UP,3487.51705593199,3353.0,DOWN,1,-0.0039000263265149345,9.70711802509128e-05,5.308574220289716e-05,1.0879663037460914
2025,2025-07-03,2025-07-07,2025-07,2025-06,UP,3487.51705593199,3353.0,DOWN,0,-0.0008820623169166179,2.6902362864812156e-05,5.308574220289716e-05,1.2384119458202156
2025,2025-07-16,2025-07-17,2025-07,2025-06,UP,3487.51705593199,3353.0,DOWN,0,-0.002049073264143816,3.1118978620316425e-05,5.308574220289716e-05,1.0215830056600732
2025,2025-10-08,2025-10-09,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.018543372834688515,0.00011824771700985979,5.308574220289716e-05,1.05101399100778
2025,2025-10-09,2025-10-10,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.0004934082272707732,0.00279161774419735,5.308574220289716e-05,1.2297745986983628
2025,2025-10-10,2025-10-13,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,0,0.05048634475796919,4.2653479688609566e-05,5.308574220289716e-05,9.406023789702209
2025,2025-10-13,2025-10-14,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.006235454357882695,0.00027862832255494196,5.308574220289716e-05,2.450130543884436
2025,2025-10-14,2025-10-15,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.013303923723532764,7.289687144934358e-05,5.308574220289716e-05,4.068884023551547
2025,2025-10-15,2025-10-16,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.03224194058306666,0.00025651277423592204,5.308574220289716e-05,3.0463811133238363
2025,2025-10-16,2025-10-17,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.035796246158451825,0.0005046135563273216,5.308574220289716e-05,4.227061173803694
2025,2025-10-17,2025-10-20,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.025900126323343226,0.0001371664248401304,5.308574220289716e-05,3.6405565819846264
2025,2025-10-20,2025-10-21,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.052897733687568595,0.0005536872704908353,5.308574220289716e-05,2.6518012885374698
2025,2025-10-21,2025-10-22,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.008562365982744978,0.00038016172369114364,5.308574220289716e-05,4.430461244536838
2025,2025-10-22,2025-10-23,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.006545008278445895,0.00015012528332038913,5.308574220289716e-05,4.48328548096294
2025,2025-10-23,2025-10-24,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.0036259597933674128,0.00011895566035950993,5.308574220289716e-05,3.3935394498630096
2025,2025-10-24,2025-10-27,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.02962376674892638,0.00012391918252615243,5.308574220289716e-05,2.765040212678787
2025,2025-10-27,2025-10-28,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.006512223962592608,0.0001421040183231147,5.308574220289716e-05,2.7737826879127327
2025,2025-10-28,2025-10-29,2025-10,2025-09,UP,3781.9706926066647,3667.68,DOWN,1,-0.005844197120322955,0.00021138540709919558,5.308574220289716e-05,2.4206234417316153
2025,2025-10-29,2025-10-30,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.01344101852934424,0.00012376156477023238,5.308574220289716e-05,2.517665605747246
2025,2025-10-30,2025-10-31,2025-10,2025-09,UP,3781.9706926066647,3667.68,UP,1,0.0025003576034142686,0.00010516129690872344,5.308574220289716e-05,2.1445594330148925
2025,2025-10-31,2025-11-03,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.0057024305266604475,8.100177536599915e-05,5.308574220289716e-05,2.0478112389650507
2025,2025-11-03,2025-11-04,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.0053285378453357774,0.00010326341413150142,5.308574220289716e-05,1.8657543935470469
2025,2025-11-04,2025-11-05,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,0,0.00600139752424917,5.189299369722097e-05,5.308574220289716e-05,1.9198882519116531
2025,2025-11-05,2025-11-06,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.0025041780699112887,6.0187221386371907e-05,5.308574220289716e-05,1.4443379747206313
2025,2025-11-06,2025-11-07,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,0,-0.0003104882452560673,4.3679581330029104e-05,5.308574220289716e-05,1.3915303932158143
2025,2025-11-07,2025-11-10,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,0,0.034801034908982474,4.001618608446151e-05,5.308574220289716e-05,1.2026939236323149
2025,2025-11-10,2025-11-11,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,0,-0.0056948619744557755,4.812622325194583e-05,5.308574220289716e-05,1.1070785852519738
2025,2025-11-11,2025-11-12,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.023301747866782598,5.656668073771163e-05,5.308574220289716e-05,1.002055914468654
2025,2025-11-12,2025-11-13,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.0012219089890362202,0.0001392818635917911,5.308574220289716e-05,1.0492543262345426
2025,2025-11-13,2025-11-14,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.029524274132828158,0.00017008573524204771,5.308574220289716e-05,1.45784566310569
2025,2025-11-14,2025-11-17,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.017246734385962914,0.0001286537782276429,5.308574220289716e-05,1.7634202640327128
2025,2025-11-17,2025-11-18,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.01610459367282304,5.78232987591165e-05,5.308574220289716e-05,1.7699923209727673
2025,2025-11-18,2025-11-19,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.00028585371795891446,0.00012170709196129149,5.308574220289716e-05,1.45866328897306
2025,2025-11-19,2025-11-20,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,1,-0.006363973941950235,0.00012422154147327216,5.308574220289716e-05,1.8493369729720814
2025,2025-11-20,2025-11-21,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.0036176098725911317,7.175984949737722e-05,5.308574220289716e-05,1.8144480370361142
2025,2025-11-21,2025-11-24,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,0,0.018375053524240022,3.7460794136213044e-05,5.308574220289716e-05,1.4356756570828508
2025,2025-11-24,2025-11-25,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,1,0.005042264671740666,6.48325466895493e-05,5.308574220289716e-05,1.1137974158241453
2025,2025-11-25,2025-11-26,2025-11,2025-10,UP,4334.125082499349,4058.33,DOWN,0,-0.0026680995507219114,3.8754123593287306e-05,5.308574220289716e-05,1.2564942244857962
2025,2025-11-26,2025-11-27,2025-11,2025-10,UP,4334.125082499349,4058.33,UP,0,0.00896332938918993,1.6340190234739832e-05,5.308574220289716e-05,1.0016526489997253
2025,2025-11-28,2025-12-01,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,1,0.000488627554139145,8.894324487423526e-05,5.308574220289716e-05,1.1160255504446255
2025,2025-12-01,2025-12-02,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,1,0.0007163822729200606,6.335218386855181e-05,5.308574220289716e-05,1.1442843553092585
2025,2025-12-02,2025-12-03,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,1,-0.005999599472045111,7.164610576699524e-05,5.308574220289716e-05,1.039648587391925
2025,2025-12-03,2025-12-04,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,0,0.004913213549353019,4.120744315979703e-05,5.308574220289716e-05,1.1288662222178938
2025,2025-12-04,2025-12-05,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,1,-0.0046125809636648335,5.949341881193571e-05,5.308574220289716e-05,1.0458600291074394
2025,2025-12-05,2025-12-08,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,0,-0.00238834688960575,3.42407329385974e-05,5.308574220289716e-05,1.0701559149548114
2025,2025-12-12,2025-12-15,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,1,-0.0031280969277289856,6.195463480154692e-05,5.308574220289716e-05,1.1611113276309772
2025,2025-12-15,2025-12-16,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,1,0.00955221017666155,5.4172326220760273e-05,5.308574220289716e-05,1.015795555244506
2025,2025-12-16,2025-12-17,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,0,0.00044674331180769077,4.5345406163492474e-05,5.308574220289716e-05,1.028982527530903
2025,2025-12-18,2025-12-19,2025-12,2025-11,UP,4362.946853032419,4087.0,UP,0,0.0035942291217601462,2.0029897942837664e-05,5.308574220289716e-05,1.1819943026576587
2025,2025-12-29,2025-12-30,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,1,-0.0071581473088157795,0.00012033893646909286,5.308574220289716e-05,1.6740360564695473
2025,2025-12-30,2025-12-31,2025-12,2025-11,UP,4362.946853032419,4087.0,DOWN,1,-0.003916799179978284,0.00010521229246057165,5.308574220289716e-05,1.369170613899117
