target_week,k,p_up,forecast_up,actual_up,previous_up
2025-06-09,52,0.539243837221,1,1,1
2025-06-16,52,0.551525129655,1,0,1
2025-06-23,52,0.530712860612,1,0,0
2025-06-30,52,0.505580227636,1,1,0
2025-07-07,52,0.519131844960,1,1,1
2025-07-14,52,0.532172080499,1,0,1
2025-07-21,52,0.512090115197,1,1,0
2025-07-28,52,0.530501808964,1,1,1
2025-08-04,52,0.543112989257,1,1,1
2025-08-11,52,0.560354008530,1,0,1
2025-08-18,52,0.534102841670,1,1,0
2025-08-25,52,0.546578133937,1,1,1
2025-09-01,52,0.563688393034,1,1,1
2025-09-08,52,0.580152981976,1,1,1
2025-09-15,52,0.590890533099,1,1,1
2025-09-22,52,0.601222893614,1,1,1
2025-09-29,52,0.611165353732,1,1,1
2025-10-06,52,0.625838359252,1,1,1
2025-10-13,52,0.634851933874,1,1,1
2025-10-20,52,0.643525373605,1,0,1
2025-10-27,52,0.614135664667,1,0,0
2025-11-03,52,0.590960733924,1,1,0
2025-11-10,52,0.606396177927,1,1,1
2025-11-17,52,0.621249152345,1,0,1
2025-11-24,52,0.592700055530,1,1,0
2025-12-01,52,0.608069864755,1,0,1
2025-12-08,52,0.585123832123,1,1,0
2025-12-15,52,0.595673803995,1,1,1
2025-12-22,52,0.610931396297,1,1,1
2025-12-29,52,0.625613230399,1,0,1
2025-01-06,104,0.452301864408,0,1,1
2025-01-13,104,0.460156553822,0,1,1
2025-01-20,104,0.467861630104,0,1,1
2025-01-27,104,0.477997599054,0,1,1
2025-02-03,104,0.487940501929,0,1,1
2025-02-10,104,0.497694016178,0,1,1
2025-02-17,104,0.507261749204,1,1,1
2025-02-24,104,0.516647239695,1,0,1
2025-03-03,104,0.504228683865,1,1,0
2025-03-10,104,0.513671947030,1,1,1
2025-03-17,104,0.520357682489,1,1,1
2025-03-24,104,0.526916070606,1,1,1
2025-03-31,104,0.535927193071,1,0,1
2025-04-07,104,0.523141400034,1,1,0
2025-04-14,104,0.532224420986,1,1,1
2025-04-21,104,0.541134432015,1,0,1
2025-04-28,104,0.528249453474,1,0,0
2025-05-05,104,0.515609903096,1,1,0
2025-05-12,104,0.524836381133,1,0,1
2025-05-19,104,0.514839497683,1,1,0
2025-05-26,104,0.524080650108,1,0,1
2025-06-02,104,0.511520505508,1,1,0
2025-06-09,104,0.518247220806,1,1,1
2025-06-16,104,0.527423464219,1,0,1
2025-06-23,104,0.517377302996,1,0,0
2025-06-30,104,0.507522497225,1,1,0
2025-07-07,104,0.514325365061,1,1,1
2025-07-14,104,0.520998654463,1,0,1
2025-07-21,104,0.508497214542,1,1,0
2025-07-28,104,0.517859172361,1,1,1
2025-08-04,104,0.527042807173,1,1,1
2025-08-11,104,0.536051515608,1,0,1
2025-08-18,104,0.525841010548,1,1,0
2025-08-25,104,0.532294954322,1,1,1
2025-09-01,104,0.538625965832,1,1,1
2025-09-08,104,0.547414042674,1,1,1
2025-09-15,104,0.553457071549,1,1,1
2025-09-22,104,0.559384995113,1,1,1
2025-09-29,104,0.567777661873,1,1,1
2025-10-06,104,0.576010468313,1,1,1
2025-10-13,104,0.581508803367,1,1,1
2025-10-20,104,0.586902408229,1,0,1
2025-10-27,104,0.573145658713,1,0,0
2025-11-03,104,0.559650942522,1,1,0
2025-11-10,104,0.568038543616,1,1,1
2025-11-17,104,0.573688724855,1,0,1
2025-11-24,104,0.560183664546,1,1,0
2025-12-01,104,0.565983462529,1,0,1
2025-12-08,104,0.555202825147,1,1,0
2025-12-15,104,0.561097496261,1,1,1
2025-12-22,104,0.566879887926,1,1,1
2025-12-29,104,0.572552138797,1,0,1
