target_week,k,p_up,forecast_up,actual_up,previous_up
2025-09-15,52,0.653846153846,1,1,1
2025-09-22,52,0.653846153846,1,1,1
2025-09-29,52,0.653846153846,1,1,1
2025-10-06,52,0.673076923077,1,1,1
2025-10-13,52,0.673076923077,1,1,1
2025-10-20,52,0.673076923077,1,0,1
2025-10-27,52,0.653846153846,1,0,0
2025-11-03,52,0.653846153846,1,1,0
2025-11-10,52,0.673076923077,1,1,1
2025-11-17,52,0.692307692308,1,0,1
2025-11-24,52,0.673076923077,1,1,0
2025-12-01,52,0.692307692308,1,0,1
2025-12-08,52,0.692307692308,1,1,0
2025-12-15,52,0.692307692308,1,1,1
2025-12-22,52,0.711538461538,1,1,1
2025-12-29,52,0.730769230769,1,0,1
2025-01-06,104,0.519230769231,1,1,1
2025-01-13,104,0.519230769231,1,1,1
2025-01-20,104,0.519230769231,1,1,1
2025-01-27,104,0.528846153846,1,1,1
2025-02-03,104,0.538461538462,1,1,1
2025-02-10,104,0.548076923077,1,1,1
2025-02-17,104,0.557692307692,1,1,1
2025-02-24,104,0.567307692308,1,0,1
2025-03-03,104,0.557692307692,1,1,0
2025-03-10,104,0.567307692308,1,1,1
2025-03-17,104,0.567307692308,1,1,1
2025-03-24,104,0.567307692308,1,1,1
2025-03-31,104,0.576923076923,1,0,1
2025-04-07,104,0.567307692308,1,1,0
2025-04-14,104,0.576923076923,1,1,1
2025-04-21,104,0.586538461538,1,0,1
2025-04-28,104,0.576923076923,1,0,0
2025-05-05,104,0.567307692308,1,1,0
2025-05-12,104,0.576923076923,1,0,1
2025-05-19,104,0.576923076923,1,1,0
2025-05-26,104,0.586538461538,1,0,1
2025-06-02,104,0.576923076923,1,1,0
2025-06-09,104,0.576923076923,1,1,1
2025-06-16,104,0.586538461538,1,0,1
2025-06-23,104,0.586538461538,1,0,0
2025-06-30,104,0.586538461538,1,1,0
2025-07-07,104,0.586538461538,1,1,1
2025-07-14,104,0.586538461538,1,0,1
2025-07-21,104,0.576923076923,1,1,0
2025-07-28,104,0.586538461538,1,1,1
2025-08-04,104,0.596153846154,1,1,1
2025-08-11,104,0.605769230769,1,0,1
2025-08-18,104,0.605769230769,1,1,0
2025-08-25,104,0.605769230769,1,1,1
2025-09-01,104,0.605769230769,1,1,1
2025-09-08,104,0.615384615385,1,1,1
2025-09-15,104,0.615384615385,1,1,1
2025-09-22,104,0.615384615385,1,1,1
2025-09-29,104,0.625000000000,1,1,1
2025-10-06,104,0.634615384615,1,1,1
2025-10-13,104,0.634615384615,1,1,1
2025-10-20,104,0.634615384615,1,0,1
2025-10-27,104,0.625000000000,1,0,0
2025-11-03,104,0.615384615385,1,1,0
2025-11-10,104,0.625000000000,1,1,1
2025-11-17,104,0.625000000000,1,0,1
2025-11-24,104,0.615384615385,1,1,0
2025-12-01,104,0.615384615385,1,0,1
2025-12-08,104,0.615384615385,1,1,0
2025-12-15,104,0.615384615385,1,1,1
2025-12-22,104,0.615384615385,1,1,1
2025-12-29,104,0.615384615385,1,0,1
