"target_week","origin_week","p_up","forecast_up","actual_up","previous_up","baseline_state","loglik","aic","bic","warning_count","warning_text","dgs10_mean","dgs10_sd","dexchus_mean","dexchus_sd","gpr_mean","gpr_sd"
"2024-05-13","2024-05-06",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.79692307692308,0.544364021772333,7.04714326923077,0.209532436844941,125.657788684552,26.9205577777409
"2024-05-20","2024-05-13",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.81403846153846,0.542281264087313,7.05431057692308,0.203326319538666,124.565595154395,26.7249883211147
"2024-05-27","2024-05-20",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.83115384615385,0.539642649995162,7.06147788461538,0.19666114070513,123.473401624239,26.4825345123806
"2024-06-03","2024-05-27",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.84932692307692,0.534337925190826,7.06675096153846,0.194156765304816,122.87995027102,26.9144154099731
"2024-06-10","2024-06-03",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.86673076923077,0.527285487249061,7.07198653846154,0.191438985721093,122.771268518888,26.888650144908
"2024-06-17","2024-06-10",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.88413461538462,0.519549114784769,7.07722211538462,0.188535318190493,122.662586766757,26.8624161900896
"2024-06-24","2024-06-17",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.90153846153846,0.511097751049354,7.08245769230769,0.185437030733989,122.553905014625,26.8357121709779
"2024-07-01","2024-06-24",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.91548076923077,0.508792363867128,7.08779134615385,0.181919383143245,122.445223262493,26.808536682878
"2024-07-08","2024-07-01",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.92692307692308,0.503629693139513,7.09330192307692,0.178330052888615,122.272495090778,26.8298183631465
"2024-07-15","2024-07-08",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.93836538461538,0.498148242015518,7.0988125,0.174491349376643,122.099766919063,26.8499612356935
