origin_week,target_week,pred_return,actual_return,forecast_up,actual_up,previous_up,pred_z,state,state_depth,state_support,tree_leaves,tree_max_depth,map_log_score
2025-07-28,2025-08-04,0.003848160116559355,0.007532976952612236,1,1,1,0.16019453492487792,ROOT,0,168,1,0,-249.66774226943514
2025-08-04,2025-08-11,0.003780790616500075,-0.01712273093973149,1,0,1,0.15677798458483083,ROOT,0,169,1,0,-250.62863808251203
2025-08-11,2025-08-18,0.004453560268603447,0.01026634233083834,1,1,0,0.19089656022580476,ROOT,0,170,1,0,-252.11027751628964
2025-08-18,2025-08-25,0.0035878300762550762,0.02718376308224069,1,1,1,0.14699225960825205,ROOT,0,171,1,0,-253.0964319150169
2025-08-25,2025-09-01,0.003199597707838552,0.03844756102344316,1,1,1,0.1273035959078591,ROOT,0,172,1,0,-254.72642432628103
2025-09-01,2025-09-08,0.003445502452982658,0.01450548240095961,1,1,1,0.13977431247695976,ROOT,0,173,1,0,-257.19033913545775
2025-09-08,2025-09-15,0.004050586837320424,0.01296218655437209,1,1,1,0.17046032405857037,ROOT,0,174,1,0,-258.29211497796956
2025-09-15,2025-09-22,0.004136050722539618,0.02237594432693901,1,1,1,0.1747945059339064,ROOT,0,175,1,0,-259.33433799440996
2025-09-22,2025-09-29,0.004150790400737067,0.02994186494857209,1,1,1,0.1755420081791861,ROOT,0,176,1,0,-260.68737283889345
2025-09-29,2025-10-06,0.004374825829248522,0.03506754723761629,1,1,1,0.18690365282238353,ROOT,0,177,1,0,-262.44864172735197
2025-10-06,2025-10-13,0.0048492420197260655,0.0593539840491466,1,1,1,0.21096300899206955,ROOT,0,178,1,0,-264.54314531425376
2025-10-13,2025-10-20,0.006515032836689367,-0.0354669811322238,1,0,1,0.2954412695867812,ROOT,0,179,1,0,-269.02813250381433
2025-10-20,2025-10-27,0.004819087993946231,-0.02634524558874451,1,0,0,0.20943378958356526,ROOT,0,180,1,0,-272.0011784827372
2025-10-27,2025-11-03,0.004148930023291628,0.0007045471310865858,1,1,0,0.17544766172881554,ROOT,0,181,1,0,-274.0874572860097
2025-11-03,2025-11-10,0.004508279030202054,0.0213251483832555,1,1,1,0.19367154598912756,ROOT,0,182,1,0,-275.0812593317219
2025-11-10,2025-11-17,0.004905870695098211,-0.003649618576819225,1,0,1,0.2138348533716312,ROOT,0,183,1,0,-276.3822867374759
2025-11-17,2025-11-24,0.004506597080771262,0.03659989199848213,1,1,0,0.19358624826694384,ROOT,0,184,1,0,-277.4399324184601
2025-11-24,2025-12-01,0.005096258818875287,-0.004462557589060334,1,0,1,0.2234901218307875,ROOT,0,185,1,0,-279.609487092871
2025-12-01,2025-12-08,0.004679583344592524,0.02466366438126344,1,1,0,0.20235900564174933,ROOT,0,186,1,0,-280.6930332389468
2025-12-08,2025-12-15,0.004915747909402487,0.008538145955069965,1,1,1,0.21433576253468414,ROOT,0,187,1,0,-282.12932008422985
2025-12-15,2025-12-22,0.00487736629948467,0.04414263619062686,1,1,1,0.212389292658837,ROOT,0,188,1,0,-283.1168294978479
2025-12-22,2025-12-29,0.005323968055702264,-0.04779251122049344,1,0,1,0.2350380785445602,ROOT,0,189,1,0,-285.8812549249187
