"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
52,"2025-06-30","2025-06-23",0.54,1,1,1,0,6,18,8
52,"2025-07-07","2025-06-30",0.54,0.333333333333333,0,1,1,5,15,7
52,"2025-07-14","2025-07-07",0.54,1,1,0,1,8,20,7
52,"2025-07-21","2025-07-14",0.54,0,0,1,0,8,20,6
52,"2025-07-28","2025-07-21",0.54,1,1,1,1,5,13,5
52,"2025-08-04","2025-07-28",0.54,0.555555555555556,1,1,1,5,13,5
52,"2025-08-11","2025-08-04",0.54,0.6,1,0,1,5,13,5
52,"2025-08-18","2025-08-11",0.54,0.5,1,1,0,5,13,5
52,"2025-08-25","2025-08-18",0.54,1,1,1,1,5,12,4
52,"2025-09-01","2025-08-25",0.54,0.578947368421053,1,1,1,5,12,5
52,"2025-09-08","2025-09-01",0.54,0.619047619047619,1,1,1,5,12,5
52,"2025-09-15","2025-09-08",0.54,0.666666666666667,1,1,1,7,18,7
52,"2025-09-22","2025-09-15",0.54,0.714285714285714,1,1,1,7,18,7
52,"2025-09-29","2025-09-22",0.54,0.75,1,1,1,7,18,7
52,"2025-10-06","2025-09-29",0.54,0.5,1,1,1,7,21,8
52,"2025-10-13","2025-10-06",0.54,0,0,1,1,8,21,8
52,"2025-10-20","2025-10-13",0.54,0.5,1,0,1,8,18,7
52,"2025-10-27","2025-10-20",0.54,1,1,0,0,8,19,9
52,"2025-11-03","2025-10-27",0.54,1,1,1,0,8,18,8
52,"2025-11-10","2025-11-03",0.54,0.4,0,1,1,8,18,7
52,"2025-11-17","2025-11-10",0.54,0.571428571428571,1,0,1,8,18,7
52,"2025-11-24","2025-11-17",0.54,1,1,1,0,8,21,8
52,"2025-12-01","2025-11-24",0.54,1,1,0,1,8,21,9
52,"2025-12-08","2025-12-01",0.54,1,1,1,0,8,22,9
52,"2025-12-15","2025-12-08",0.54,0.5,1,1,1,8,21,9
52,"2025-12-22","2025-12-15",0.54,0.666666666666667,1,1,1,8,21,10
52,"2025-12-29","2025-12-22",0.54,0.666666666666667,1,0,1,7,17,8
104,"2025-01-06","2024-12-30",0.4,0.666666666666667,1,1,1,9,40,16
104,"2025-01-13","2025-01-06",0.4,0.5,1,1,1,9,39,18
104,"2025-01-20","2025-01-13",0.4,0.25,0,1,1,9,39,19
104,"2025-01-27","2025-01-20",0.4,0.307692307692308,0,1,1,9,38,19
104,"2025-02-03","2025-01-27",0.4,0.357142857142857,0,1,1,9,38,19
104,"2025-02-10","2025-02-03",0.4,0.6,1,1,1,9,39,18
104,"2025-02-17","2025-02-10",0.4,0.666666666666667,1,1,1,9,39,18
104,"2025-02-24","2025-02-17",0.4,1,1,0,1,9,41,18
104,"2025-03-03","2025-02-24",0.4,0.5,1,1,0,9,39,19
104,"2025-03-10","2025-03-03",0.4,1,1,1,1,9,39,17
104,"2025-03-17","2025-03-10",0.4,1,1,1,1,9,38,17
104,"2025-03-24","2025-03-17",0.4,0.3,0,1,1,9,37,17
104,"2025-03-31","2025-03-24",0.4,0.473684210526316,0,0,1,9,35,15
104,"2025-04-07","2025-03-31",0.4,0.666666666666667,1,1,0,9,33,15
104,"2025-04-14","2025-04-07",0.4,1,1,1,1,9,34,17
104,"2025-04-21","2025-04-14",0.4,1,1,0,1,9,35,17
104,"2025-04-28","2025-04-21",0.4,0,0,0,0,9,36,17
104,"2025-05-05","2025-04-28",0.4,1,1,1,0,9,36,17
104,"2025-05-12","2025-05-05",0.4,1,1,0,1,9,36,17
104,"2025-05-19","2025-05-12",0.4,0.4,0,1,0,9,33,16
104,"2025-05-26","2025-05-19",0.4,1,1,0,1,9,36,16
104,"2025-06-02","2025-05-26",0.4,0.5,1,1,0,9,38,17
104,"2025-06-09","2025-06-02",0.4,0.666666666666667,1,1,1,9,37,18
104,"2025-06-16","2025-06-09",0.4,0.5,1,0,1,9,37,17
104,"2025-06-23","2025-06-16",0.4,0,0,0,0,9,36,17
104,"2025-06-30","2025-06-23",0.4,1,1,1,0,9,36,17
104,"2025-07-07","2025-06-30",0.4,0.625,1,1,1,9,36,17
104,"2025-07-14","2025-07-07",0.4,1,1,0,1,9,40,18
104,"2025-07-21","2025-07-14",0.4,0.5,1,1,0,9,39,17
104,"2025-07-28","2025-07-21",0.4,1,1,1,1,9,38,16
104,"2025-08-04","2025-07-28",0.4,0,0,1,1,9,37,16
104,"2025-08-11","2025-08-04",0.4,0.473684210526316,0,0,1,9,37,15
104,"2025-08-18","2025-08-11",0.4,0.333333333333333,0,1,0,9,37,16
104,"2025-08-25","2025-08-18",0.4,1,1,1,1,9,37,16
104,"2025-09-01","2025-08-25",0.4,1,1,1,1,9,37,16
104,"2025-09-08","2025-09-01",0.4,0.45,0,1,1,9,37,17
104,"2025-09-15","2025-09-08",0.4,0.476190476190476,0,1,1,9,37,18
104,"2025-09-22","2025-09-15",0.4,0.6,1,1,1,9,43,18
104,"2025-09-29","2025-09-22",0.4,0.666666666666667,1,1,1,9,43,18
104,"2025-10-06","2025-09-29",0.4,0.5,1,1,1,9,44,19
104,"2025-10-13","2025-10-06",0.4,0,0,1,1,9,45,21
104,"2025-10-20","2025-10-13",0.4,0.5,1,0,1,9,44,20
104,"2025-10-27","2025-10-20",0.4,0.666666666666667,1,0,0,9,44,22
104,"2025-11-03","2025-10-27",0.4,1,1,1,0,9,44,22
104,"2025-11-10","2025-11-03",0.4,0.5,1,1,1,9,44,23
104,"2025-11-17","2025-11-10",0.4,0.333333333333333,0,0,1,9,46,24
104,"2025-11-24","2025-11-17",0.4,0.5,1,1,0,9,42,24
104,"2025-12-01","2025-11-24",0.4,1,1,0,1,9,42,22
104,"2025-12-08","2025-12-01",0.4,1,1,1,0,9,43,22
104,"2025-12-15","2025-12-08",0.4,0.75,1,1,1,9,43,24
104,"2025-12-22","2025-12-15",0.4,0.333333333333333,0,1,1,9,46,26
104,"2025-12-29","2025-12-22",0.4,0.444444444444444,0,0,1,9,45,25
