policy,window,status,year,n,actual_up,actual_down,up2_calls,true_up,false_up,missed_up,true_down_abstain,up_precision,missed_up_recall,false_up_fpr,coverage,wilson90_lcb_up_precision,auc,brier,tau,train_n,train_up,train_down,calibration,standardized_coefficients,intercept,pre2025_supportive,calibration_n,down_calibration_n
ROLLING_65,65,BLOCKED_CALIBRATION_SUPPORT,2024,,,,,,,,,,,,,,,,,65,,,,,,,25,13
ROLLING_65,65,BLOCKED_OR_INCOMPLETE,POOLED_2022_2024,,,,,,,,,,,,,,,,,,,,,,,,,
ROLLING_70,70,BLOCKED_CALIBRATION_SUPPORT,2022,,,,,,,,,,,,,,,,,70,,,,,,,30,16
ROLLING_70,70,BLOCKED_CALIBRATION_SUPPORT,2023,,,,,,,,,,,,,,,,,70,,,,,,,30,17
ROLLING_70,70,BLOCKED_CALIBRATION_SUPPORT,2024,,,,,,,,,,,,,,,,,70,,,,,,,30,17
ROLLING_70,70,BLOCKED_OR_INCOMPLETE,POOLED_2022_2024,,,,,,,,,,,,,,,,,,,,,,,,,
ROLLING_75,75,BLOCKED_CALIBRATION_SUPPORT,2022,,,,,,,,,,,,,,,,,75,,,,,,,35,19
ROLLING_75,75,BLOCKED_CALIBRATION_SUPPORT,2023,,,,,,,,,,,,,,,,,75,,,,,,,35,19
ROLLING_75,75,OK,2024,13,7,6,0,0,0,7,6,,0.0,0.0,0.0,,0.8571428571428571,0.19745462983219159,0.6757190840956203,75,37,38,"{""calibration_n"": 35, ""down_calibration_n"": 20, ""q80_down_prequential"": 0.6757190840956203, ""status"": ""OK"", ""tau"": 0.6757190840956203}","{""close_location"": -0.14426521611301016, ""direct_up_fraction"": -0.1391287746383722, ""downside_share"": 0.09626732920508839, ""intraday_end_norm"": -0.11574981350900261, ""lag1_close_return"": 0.060368167723899045, ""last_quarter_return_norm"": 0.05160191785174489, ""legacy_up_fraction"": 0.22405478679616297, ""sqrt_score"": 0.22836653271393437, ""trough_recovery_norm"": -0.11325594060713418}",-0.02948681431269408,,,
ROLLING_75,75,BLOCKED_OR_INCOMPLETE,POOLED_2022_2024,,,,,,,,,,,,,,,,,,,,,,,,,
ROLLING_80,80,OK,2022,11,5,6,7,3,4,2,2,0.42857142857142855,0.6,0.6666666666666666,0.6363636363636364,0.22598811161452576,0.6000000000000001,0.27907510888632314,0.5737875335383485,80,41,39,"{""calibration_n"": 40, ""down_calibration_n"": 22, ""q80_down_prequential"": 0.5737875335383485, ""status"": ""OK"", ""tau"": 0.5737875335383485}","{""close_location"": -0.22961394734907647, ""direct_up_fraction"": -0.2171716207726116, ""downside_share"": 0.1761993830715324, ""intraday_end_norm"": 0.006335101197937739, ""lag1_close_return"": 0.006129074941453531, ""last_quarter_return_norm"": 0.16699716781692597, ""legacy_up_fraction"": 0.3365612210356568, ""sqrt_score"": 0.06398834092168541, ""trough_recovery_norm"": 0.07587198622242342}",0.049800821669955454,,,
ROLLING_80,80,OK,2023,2,1,1,0,0,0,1,1,,0.0,0.0,0.0,,1.0,0.19196334595609157,0.677699352676652,80,39,41,"{""calibration_n"": 40, ""down_calibration_n"": 22, ""q80_down_prequential"": 0.677699352676652, ""status"": ""OK"", ""tau"": 0.677699352676652}","{""close_location"": -0.19308101060397984, ""direct_up_fraction"": -0.07638488879289312, ""downside_share"": 0.09123102638286404, ""intraday_end_norm"": -0.2476170003442633, ""lag1_close_return"": 0.145245052354097, ""last_quarter_return_norm"": 0.04287734056353325, ""legacy_up_fraction"": 0.22608115190652933, ""sqrt_score"": 0.09915875128870838, ""trough_recovery_norm"": 0.17394153216901234}",-0.052949305734631115,,,
ROLLING_80,80,OK,2024,13,7,6,1,1,0,6,6,1.0,0.14285714285714285,0.0,0.07692307692307693,0.3784475032253529,0.8571428571428571,0.20027748454325292,0.667302199782881,80,39,41,"{""calibration_n"": 40, ""down_calibration_n"": 22, ""q80_down_prequential"": 0.667302199782881, ""status"": ""OK"", ""tau"": 0.667302199782881}","{""close_location"": -0.012544803550256658, ""direct_up_fraction"": -0.1439187286584056, ""downside_share"": 0.12136532274879268, ""intraday_end_norm"": -0.25104515754558177, ""lag1_close_return"": 0.06919392706001708, ""last_quarter_return_norm"": -0.012911230285369647, ""legacy_up_fraction"": 0.21444877195365417, ""sqrt_score"": 0.10485701683090254, ""trough_recovery_norm"": -0.02059322533274864}",-0.05243393896230112,,,
ROLLING_80,80,OK,POOLED_2022_2024,26,13,13,8,4,4,9,9,0.5,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.2936454286357453,0.6982248520710059,0.23297539187400096,,,,,,,,False,,
ROLLING_85,85,OK,2022,11,5,6,7,4,3,1,3,0.5714285714285714,0.8,0.5,0.6363636363636364,0.34169705362090663,0.5,0.25782411714330844,0.5435215866996707,85,42,43,"{""calibration_n"": 45, ""down_calibration_n"": 25, ""q80_down_prequential"": 0.5435215866996707, ""status"": ""OK"", ""tau"": 0.5435215866996707}","{""close_location"": -0.1597386235597955, ""direct_up_fraction"": -0.08341835444702038, ""downside_share"": 0.23159944002253677, ""intraday_end_norm"": -0.09193874369199503, ""lag1_close_return"": 0.2407555357320764, ""last_quarter_return_norm"": 0.0731554061706743, ""legacy_up_fraction"": 0.27794138519985484, ""sqrt_score"": 0.09347469222246381, ""trough_recovery_norm"": 0.11374452424458124}",-0.025525164301827594,,,
