origin_date,target_date,origin_close,target_close,target_log_return,actual_up,momentum_20d_log_return,tsm_signal,rs_plus_5d,rs_minus_5d,q80_plus_250d,q80_minus_250d,region,ttsm_s1_signal,ttsm_s2_signal
2022-02-03,2022-02-07,1806.58997,1821.43005,0.008180860460686359,1,-0.006064850102932639,-1,0.00012736533401612194,0.00012179963369082893,0.00023359014899571574,0.0002794761712456276,3,-1,-1
2022-02-07,2022-02-08,1821.43005,1827.34998,0.0032448846714284566,1,0.009864961742987345,1,9.932343850462303e-05,8.695873660233791e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-02-08,2022-02-09,1827.34998,1834.12,0.003697983461301637,1,0.006748261457459843,1,8.728142369938547e-05,8.153041086141913e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-02-09,2022-02-10,1834.12,1824.28003,-0.005379397358580923,0,0.015760506287685452,1,8.216407302092101e-05,7.334887202568371e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-02-10,2022-02-14,1824.28003,1877.44995,0.02872904142356626,1,0.017456985958970994,1,9.326070353651049e-05,9.74476744757054e-05,0.00023224183827015522,0.0002794761712456276,3,1,1
2022-02-14,2022-02-15,1877.44995,1852.93005,-0.013146249515775877,0,0.03834054004829713,1,0.00011755909218519251,9.964228309252108e-05,0.0002316890044111949,0.0002780258354817331,3,1,1
2022-02-15,2022-02-16,1852.93005,1873.82996,0.011216246311254235,1,0.018855226625581624,1,0.00013659743902433424,0.00015445670742661173,0.0002277314799041588,0.00027343994189006746,3,1,1
2022-02-16,2022-02-17,1873.82996,1890.47998,0.008846311195025604,1,0.025801911263604115,1,0.00015668002732378714,0.00016336152303298899,0.00022663086699778207,0.00026461506975409546,3,1,1
2022-02-17,2022-02-21,1890.47998,1907.83997,0.009140941841207983,1,0.034659185773895054,1,0.0001982309481171233,0.00018912442328618119,0.00022614720570196404,0.00026227743044810635,3,1,1
2022-02-21,2022-02-22,1907.83997,1897.069946,-0.005661134166795703,0,0.04822919455219173,1,0.0002082322112320107,0.00016874377620586787,0.00022608098833767662,0.0002621645697857979,3,1,1
2022-02-22,2022-02-23,1897.069946,1935.81995,0.02022042132033331,1,0.04594558191388841,1,0.0001884179455578391,0.00018440257488120835,0.00022608098833767662,0.0002586308370825072,3,1,1
2022-02-23,2022-02-24,1935.81995,1912.21997,-0.012266128413530631,0,0.05079261333248179,1,0.00023596792417209764,0.0001559742069956045,0.00022614720570196404,0.0002583441192532457,4,1,0
2022-02-24,2022-02-28,1912.21997,1905.56995,-0.0034837048998737244,0,0.03768983398076742,1,0.0003645582200289888,0.00039878149232455793,0.00022663086699778207,0.0002583441192532457,1,0,0
2022-02-28,2022-03-01,1905.56995,1936.42004,0.01605977794821718,1,0.03390204170929692,1,0.0003697594788414604,0.0004344525548978799,0.0002277314799041588,0.0002583441192532457,1,0,0
2022-03-01,2022-03-02,1936.42004,1924.65002,-0.006096784712776314,0,0.04698046399494327,1,0.00040473559052211095,0.0004680711314523535,0.0002316890044111949,0.0002583441192532457,1,0,0
2022-03-02,2022-03-03,1924.65002,1939.17004,0.007515923685044293,1,0.05810786323939813,1,0.0004563599463893983,0.0005505973655073932,0.00023224183827015522,0.0002583441192532457,1,0,0
2022-03-03,2022-03-07,1939.17004,1991.28003,0.026517596004144838,1,0.07520147829562221,1,0.00042495494292509614,0.0005767693305727456,0.00023359014899571574,0.0002583441192532457,1,0,0
