target_week,p_up,forecast_up,actual_up,p26,p52,w26_before,w52_before,loss26,loss52,w26_after,w52_after
2023-08-14,0.8529550939516911,1,0,1.0,0.0,0.8529550939516911,0.1470449060483088,1.0,0.0,0.6718669631944507,0.3281330368055493
2023-08-21,0.6119778271990753,1,1,0.666666666666667,0.5,0.6718669631944507,0.3281330368055493,0.0,0.0,0.6632736150347281,0.33672638496527185
2023-08-28,0.6632736150347281,1,1,1.0,0.0,0.6632736150347281,0.33672638496527185,0.0,1.0,0.8254970737758693,0.1745029262241307
2023-09-04,0.23490058524482615,0,0,0.2,0.4,0.8254970737758693,0.1745029262241307,0.0,0.0,0.8092222200870759,0.19077777991292413
2023-09-11,0.0,0,1,0.0,0.0,0.8092222200870759,0.19077777991292413,1.0,1.0,0.793761109082722,0.2062388909172779
2023-09-18,0.0,0,1,0.0,0.0,0.793761109082722,0.2062388909172779,1.0,1.0,0.7790730536285859,0.220926946371414
2023-09-25,0.1558146107257172,0,0,0.2,0.0,0.7790730536285859,0.220926946371414,0.0,0.0,0.7651194009471567,0.2348805990528433
2023-10-02,0.38790447924227467,0,0,0.2,1.0,0.7651194009471567,0.2348805990528433,0.0,1.0,0.8785998360372771,0.12140016396272302
2023-10-09,0.0,0,1,0.0,0.0,0.8785998360372771,0.12140016396272302,1.0,1.0,0.8596698442354131,0.14033015576458685
2023-10-16,1.0,1,1,1.0,1.0,0.8596698442354131,0.14033015576458685,0.0,0.0,0.8416863520236425,0.1583136479763575
2023-10-23,0.20360651786115036,0,1,0.166666666666667,0.4,0.8416863520236425,0.1583136479763575,1.0,1.0,0.8246020344224605,0.17539796557753962
2023-10-30,0.36256632759625634,0,1,0.333333333333333,0.5,0.8246020344224605,0.17539796557753962,1.0,0.0,0.6269533451976744,0.3730466548023256
2023-11-06,0.4552176182001664,0,0,0.428571428571429,0.5,0.6269533451976744,0.3730466548023256,0.0,1.0,0.8043952242031606,0.19560477579683938
2023-11-13,0.33516467675131717,0,1,0.416666666666667,0.0,0.8043952242031606,0.19560477579683938,1.0,1.0,0.7891754629930026,0.21082453700699744
2023-11-20,0.8945877314965013,1,1,1.0,0.5,0.7891754629930026,0.21082453700699744,0.0,0.0,0.7747166898433524,0.22528331015664754
2023-11-27,0.29051875869125715,0,1,0.375,0.0,0.7747166898433524,0.22528331015664754,1.0,1.0,0.7609808553511848,0.23901914464881518
2023-12-04,0.4497559809921956,0,0,0.444444444444444,0.466666666666667,0.7609808553511848,0.23901914464881518,0.0,0.0,0.7479318125836255,0.25206818741637443
2023-12-11,0.4545454545454549,0,1,0.454545454545455,0.454545454545455,0.7479318125836255,0.25206818741637443,1.0,1.0,0.7355352219544443,0.2644647780455557
2023-12-18,0.933883805488611,1,1,1.0,0.75,0.7355352219544443,0.2644647780455557,0.0,0.0,0.7237584608567221,0.2762415391432779
2023-12-25,0.444444444444444,0,1,0.444444444444444,0.444444444444444,0.7237584608567221,0.2762415391432779,1.0,1.0,0.7125705378138859,0.28742946218611404
2024-01-01,0.27395245518217604,0,0,0.25,0.333333333333333,0.7125705378138859,0.28742946218611404,0.0,0.0,0.7019420109231916,0.29805798907680836
2024-01-08,0.8374229150490138,1,0,1.0,0.454545454545455,0.7019420109231916,0.29805798907680836,1.0,0.0,0.46599193670603917,0.5340080632939609
2024-01-15,0.23299596835301958,0,0,0.5,0.0,0.46599193670603917,0.5340080632939609,1.0,0.0,0.2558603459494807,0.7441396540505193
2024-01-22,0.11630015724976407,0,0,0.454545454545455,0.0,0.2558603459494807,0.7441396540505193,0.0,0.0,0.26806732865200666,0.7319326713479933
2024-01-29,0.8537814570989055,1,1,0.454545454545455,1.0,0.26806732865200666,0.7319326713479933,1.0,0.0,0.13779963180705077,0.8622003681929492
2024-02-05,0.5688998159035253,1,0,1.0,0.5,0.13779963180705077,0.8622003681929492,1.0,1.0,0.15590965021669823,0.8440903497833018
2024-02-12,0.4452501025397283,0,0,0.6,0.416666666666667,0.15590965021669823,0.8440903497833018,1.0,0.0,0.08544526108364234,0.9145547389163577
2024-02-19,0.9572773694581789,1,1,0.5,1.0,0.08544526108364234,0.9145547389163577,0.0,0.0,0.10617299802946023,0.8938270019705399
2024-02-26,0.94691350098527,1,1,0.5,1.0,0.10617299802946023,0.8938270019705399,0.0,0.0,0.12586434812798722,0.8741356518720129
2024-03-04,0.35431072468799757,0,1,0.5,0.333333333333333,0.12586434812798722,0.8741356518720129,0.0,1.0,0.2922333602016023,0.7077666397983977
2024-03-11,0.6461166801008011,1,0,1.0,0.5,0.2922333602016023,0.7077666397983977,1.0,1.0,0.3026216921915222,0.6973783078084779
2024-03-18,0.5116937093758936,1,1,0.666666666666667,0.444444444444444,0.3026216921915222,0.6973783078084779,0.0,1.0,0.5391355050169657,0.4608644949830342
2024-03-25,1.0,1,1,1.0,1.0,0.5391355050169657,0.4608644949830342,0.0,0.0,0.5371787297661175,0.46282127023388253
2024-04-01,1.0,1,1,1.0,1.0,0.5371787297661175,0.46282127023388253,0.0,0.0,0.5353197932778115,0.4646802067221884
2024-04-08,0.07744670112036489,0,1,0.0,0.166666666666667,0.5353197932778115,0.4646802067221884,1.0,1.0,0.5335538036139209,0.46644619638607904
2024-04-15,0.2399811025473783,0,1,0.2,0.285714285714286,0.5335538036139209,0.46644619638607904,1.0,1.0,0.5318761134332248,0.46812388656677506
2024-04-22,0.3687917408955481,0,0,0.4,0.333333333333333,0.5318761134332248,0.46812388656677506,0.0,0.0,0.5302823077615637,0.46971769223843635
2024-04-29,0.4824883589851324,0,0,0.555555555555556,0.4,0.5302823077615637,0.46971769223843635,1.0,0.0,0.3037704811129201,0.69622951888708
2024-05-06,0.15188524055646005,0,1,0.5,0.0,0.3037704811129201,0.69622951888708,0.0,1.0,0.5404178757568038,0.4595821242431963
2024-05-13,0.6838328496972785,1,1,0.5,0.9,0.5404178757568038,0.4595821242431963,0.0,0.0,0.5383969819689636,0.4616030180310365
2024-05-20,1.0,1,0,1.0,1.0,0.5383969819689636,0.4616030180310365,1.0,1.0,0.5364771328705153,0.46352286712948465
2024-05-27,0.45364771328705156,0,0,0.5,0.4,0.5364771328705153,0.46352286712948465,1.0,0.0,0.30869818861741966,0.6913018113825804
2024-06-03,0.8971006037941935,1,0,0.666666666666667,1.0,0.30869818861741966,0.6913018113825804,1.0,1.0,0.3182632791865487,0.6817367208134514
2024-06-10,0.11573210152238145,0,1,0.363636363636364,0.0,0.3182632791865487,0.6817367208134514,1.0,1.0,0.3273501152272212,0.6726498847727788
2024-06-17,0.3363249423863894,0,0,0.0,0.5,0.3273501152272212,0.6726498847727788,0.0,1.0,0.5660235709116659,0.4339764290883342
2024-06-24,0.3104667274043035,0,1,0.2,0.454545454545455,0.5660235709116659,0.4339764290883342,1.0,1.0,0.5627223923660826,0.43727760763391754
2024-07-01,1.0,1,1,1.0,1.0,0.5627223923660826,0.43727760763391754,0.0,0.0,0.5595862727477784,0.44041372725222167
2024-07-08,0.6500738798664679,1,1,0.571428571428571,0.75,0.5595862727477784,0.44041372725222167,0.0,0.0,0.5566069591103895,0.44339304088961057
2024-07-15,0.4445758698887987,0,0,0.5,0.375,0.5566069591103895,0.44339304088961057,1.0,0.0,0.3251216600177889,0.6748783399822111
2024-07-22,0.4368115458172118,0,0,0.4,0.454545454545455,0.3251216600177889,0.6748783399822111,0.0,0.0,0.33386557701689945,0.6661344229831005
2024-07-29,0.5834663942542249,1,1,0.75,0.5,0.33386557701689945,0.6661344229831005,0.0,0.0,0.3421722981660545,0.6578277018339456
2024-08-05,0.8859425672779819,1,0,0.666666666666667,1.0,0.3421722981660545,0.6578277018339456,1.0,1.0,0.3500636832577518,0.6499363167422483
2024-08-12,0.5114176542986708,1,1,0.4,0.571428571428571,0.3500636832577518,0.6499363167422483,1.0,0.0,0.1821072473368648,0.8178927526631352
2024-08-19,1.0,1,1,1.0,1.0,0.1821072473368648,0.8178927526631352,0.0,0.0,0.19800188497002155,0.8019981150299784
2024-08-26,0.5990009424850108,1,0,1.0,0.5,0.19800188497002155,0.8019981150299784,1.0,1.0,0.2131017907215205,0.7868982092784795
2024-09-02,0.0,0,0,0.0,0.0,0.2131017907215205,0.7868982092784795,0.0,0.0,0.22744670118544447,0.7725532988145556
2024-09-09,0.5150355325430372,1,1,0.0,0.666666666666667,0.22744670118544447,0.7725532988145556,1.0,0.0,0.11783681240674876,0.8821631875932513
2024-09-16,0.7009013281638546,1,1,0.333333333333333,0.75,0.11783681240674876,0.8821631875932513,1.0,0.0,0.06949668114176263,0.9305033188582373
2024-09-23,0.6550838864763731,1,1,0.5,0.666666666666667,0.06949668114176263,0.9305033188582373,0.0,0.0,0.0910218470846745,0.9089781529153255
2024-09-30,0.3029927176384415,0,0,0.0,0.333333333333333,0.0910218470846745,0.9089781529153255,0.0,0.0,0.11147075473044077,0.8885292452695591
2024-10-07,0.44426462263477956,0,1,0.0,0.5,0.11147075473044077,0.8885292452695591,1.0,0.0,0.06691055025864087,0.9330894497413591
2024-10-14,1.0,1,1,1.0,1.0,0.06691055025864087,0.9330894497413591,0.0,0.0,0.08856502274570882,0.9114349772542911
2024-10-21,0.9557174886271456,1,1,0.5,1.0,0.08856502274570882,0.9114349772542911,0.0,0.0,0.10913677160842339,0.8908632283915765
2024-10-28,0.22271580709789413,0,0,0.0,0.25,0.10913677160842339,0.8908632283915765,0.0,0.0,0.12867993302800224,0.8713200669719977
2024-11-04,0.03216998325700056,0,0,0.25,0.0,0.12867993302800224,0.8713200669719977,0.0,0.0,0.14724593637660213,0.8527540636233978
2024-11-11,0.7157486454588675,1,0,1.0,0.666666666666667,0.14724593637660213,0.8527540636233978,1.0,1.0,0.16488363955777205,0.835116360442228
2024-11-18,0.6391860600737049,1,1,0.5,0.666666666666667,0.16488363955777205,0.835116360442228,0.0,0.0,0.18163945757988342,0.8183605424201166
2024-11-25,0.06054648585996108,0,0,0.333333333333333,0.0,0.18163945757988342,0.8183605424201166,0.0,0.0,0.19755748470088924,0.8024425152991107
2024-12-02,0.7325191615669633,1,0,1.0,0.666666666666667,0.19755748470088924,0.8024425152991107,1.0,1.0,0.21267961046584477,0.7873203895341553
2024-12-09,0.660531773916573,1,1,0.75,0.636363636363636,0.21267961046584477,0.7873203895341553,0.0,0.0,0.2270456299425525,0.7729543700574475
2024-12-16,0.6553976541906031,1,0,0.333333333333333,0.75,0.2270456299425525,0.7729543700574475,0.0,1.0,0.44677062058875555,0.5532293794112445
2024-12-23,0.37021529196074954,0,0,0.333333333333333,0.4,0.44677062058875555,0.5532293794112445,0.0,0.0,0.4494320895593178,0.5505679104406823
2024-12-30,0.9101135820881365,1,1,0.8,1.0,0.4494320895593178,0.5505679104406823,0.0,0.0,0.4519604850813519,0.5480395149186482
