origin_date,target_date,actual_return,actual_up,freq_p_up,lag1_return,log_rv,rsk,AR1_LOGIT_p_up,AR1_LOGIT_pred_up,AR1_LOGIT_beta,RV_LOGIT_p_up,RV_LOGIT_pred_up,RV_LOGIT_beta,RSK_LOGIT_p_up,RSK_LOGIT_pred_up,RSK_LOGIT_beta,RM_LOGIT_p_up,RM_LOGIT_pred_up,RM_LOGIT_beta,AR1_RM_LOGIT_p_up,AR1_RM_LOGIT_pred_up,AR1_RM_LOGIT_beta
2023-07-10,2023-07-11,0.006110562894297311,1,0.5237366003062787,0.0081135760149169,-10.456411775029926,-0.141039423399757,0.5328889236498786,1,"[0.09507067371535873,0.04883079976576801]",0.4887051463783617,0,"[0.09521132079856567,0.0840134561809066]",0.5215316707632902,1,"[0.0955015463876547,0.13454860574525038]",0.47983058202548895,0,"[0.09608111704482682,0.09974441733481162,0.14600833538127633]",0.4803541755777198,0,"[0.0960815420896611,0.0031398792436179816,0.09995211000889066,0.1447656158413865]"
2023-07-11,2023-07-12,0.01118237665803587,1,0.5244648318042814,0.006110562894297311,-10.24448284903662,0.278635832494265,0.5315889529792454,1,"[0.09799680912595683,0.05097588905823367]",0.4989703525800806,0,"[0.09811112959128877,0.07887286379084958]",0.5335202316905729,1,"[0.09843193579776519,0.1342569248254933]",0.5038306002374423,1,"[0.09897025490255934,0.09442047867434578,0.1450555597669087]",0.5043518249445182,1,"[0.09897164916545198,0.005696555902757323,0.09480865233027432,0.1428041825828444]"
2023-07-12,2023-07-13,0.001121558897272848,1,0.5251908396946565,0.01118237665803587,-9.74211094622855,3.88600919260585,0.5388403162386786,1,"[0.10091360293569601,0.05256457622889795]",0.5174442755468328,1,"[0.10100856131814892,0.07492750410817202]",0.6289694315584754,1,"[0.10136140395252612,0.13498301941278557]",0.6279565101587598,1,"[0.10187621777863565,0.09055943134446423,0.14538445438374914]",0.6275697281051678,1,"[0.10187832429372466,0.0070304614126747485,0.09104451789159752,0.14260539633567273]"
2023-07-13,2023-07-17,-0.0013970684235364223,0,0.5259146341463414,0.001121558897272848,-10.003990328126944,-0.25884886834038584,0.5270768101233031,1,"[0.10382575064368106,0.055518620976852895]",0.5098904510545125,1,"[0.10390962694273048,0.07365658401164146]",0.5200620027079451,1,"[0.10435387114041408,0.14338746083841955]",0.500016782911293,1,"[0.10490175406177255,0.09043205112708232,0.15396455237970885]",0.5001597066935853,1,"[0.10490355316524641,0.006391517979112211,0.09087276454222505,0.1514216267411053]"
2023-07-17,2023-07-18,0.007953485090318997,1,0.5251141552511416,-0.0013970684235364223,-10.279899474310728,-0.6550871669072378,0.5229658522239299,1,"[0.10061221714567418,0.05520177617610392]",0.499318358130613,0,"[0.1007073123207579,0.07636588346600968]",0.5078998335526136,1,"[0.1011314994139435,0.14381293655424923]",0.4751938419905445,0,"[0.10170020948563488,0.0931878286236234,0.15468936042365153]",0.4751057880806948,0,"[0.10170180819513878,0.006057043647395794,0.09360647517949407,0.15227925218623373]"
2023-07-18,2023-07-19,0.004882907576115807,1,0.5258358662613982,0.007953485090318997,-9.71626461535909,0.5460940673237935,0.535855059313783,1,"[0.10350752582573955,0.05470929357288309]",0.5192497520109071,1,"[0.10358719312594099,0.07227124419872845]",0.5427859644323527,1,"[0.10402696765522422,0.142231180734806]",0.5360315049848787,1,"[0.10455392959402685,0.08864492880237107,0.15244766358649212]",0.5367849114938658,1,"[0.10455544572037737,0.005825940300422577,0.08904712427860008,0.150129813503135]"
2023-07-19,2023-07-20,-0.007538879205517078,0,0.5265553869499241,0.004882907576115807,-10.202884815674523,0.14529934490277258,0.5328045410595594,1,"[0.10640112707113408,0.05677725880440545]",0.5049635651659078,1,"[0.10647198916478372,0.07115481339252312]",0.5322386345795412,1,"[0.10693854982685914,0.1435633899397476]",0.5061148084849363,1,"[0.10746833339350463,0.08771253196622789,0.15371751686590043]",0.5066745866589402,1,"[0.1074707925694873,0.007598097233555863,0.08823954730757054,0.1506917353575836]"
2023-07-20,2023-07-24,-0.004364238870004174,0,0.5257575757575758,-0.007538879205517078,-10.170416928572093,-0.6617058974182584,0.5154921672572943,1,"[0.1031947355468936,0.05530339380914487]",0.5041248235351893,1,"[0.10328484036327734,0.07492399693964742]",0.5084265347472925,1,"[0.1037166756677908,0.1429008129638674]",0.4807814893298686,0,"[0.10427252402338447,0.09149680027639179,0.15350601712750192]",0.4797584682066675,0,"[0.10427431888787082,0.006497650810208185,0.09195119351883119,0.1509189145704617]"
2023-07-24,2023-07-25,0.0011615917086936394,1,0.5249621785173979,-0.004364238870004174,-10.282373808591217,-0.4547254476546464,0.5186380908771009,1,"[0.10000833342728754,0.05761418238815895]",0.4985003387263388,0,"[0.10010711080999643,0.07849471690462197]",0.5134302533458652,1,"[0.10052427771345632,0.1443808861624794]",0.4805537089453334,0,"[0.10111294404261503,0.09513443696527198,0.1553301636404371]",0.47967298091765026,0,"[0.1011159151930842,0.008714983081707643,0.09573534842332768,0.1518551166477075]"
2023-07-25,2023-07-26,0.007143481379158466,1,0.525679758308157,0.0011615917086936394,-10.247676174306607,0.04138470327951698,0.5269176613854056,1,"[0.10288500518196705,0.05629555638064523]",0.5017712746945586,1,"[0.10297011035516057,0.07442610358910388]",0.5284303217163111,1,"[0.1034073983220713,0.14330453844046148]",0.49956213720102144,0,"[0.10395751277999112,0.09073756519142068,0.1536547090938744]",0.49950914695778464,0,"[0.10395956740988482,0.007166838327301318,0.09122523099416453,0.15079517035419057]"
