trade_date,acquisition_status,evidence_status,canonical_n,cache_exact_n,exact_close,lineage_id,retrieved_at,gap_action,impacted_readiness_cells
2024-12-09,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-10,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2693.93994,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-11,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-12,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-13,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2648.51001,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-14,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-15,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-16,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-17,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-18,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2585.78003,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-19,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
