week_start,weekly_return,sign,n_days,first_date,last_date
2024-07-01,0.02770449116235441,1,4,2024-07-01,2024-07-05
2024-07-08,0.008387277828167172,1,5,2024-07-08,2024-07-12
2024-07-15,-0.003911954764450054,0,5,2024-07-15,2024-07-19
2024-07-22,-0.005559762395123680,0,5,2024-07-22,2024-07-26
2024-07-29,0.02321055335699784,1,5,2024-07-29,2024-08-02
2024-08-05,-0.004435484401476675,0,5,2024-08-05,2024-08-09
2024-08-12,0.03139477204855001,1,5,2024-08-12,2024-08-16
2024-08-19,0.002007163258054723,1,5,2024-08-19,2024-08-23
2024-08-26,-0.003489444541567743,0,5,2024-08-26,2024-08-30
2024-09-02,-0.002325065678643878,0,4,2024-09-03,2024-09-06
2024-09-09,0.03235816180672990,1,5,2024-09-09,2024-09-13
2024-09-16,0.01680631458246529,1,5,2024-09-16,2024-09-20
2024-09-23,0.01374610725488046,1,5,2024-09-23,2024-09-27
2024-09-30,-0.001706292555958555,0,5,2024-09-30,2024-10-04
2024-10-07,0.001551499067402928,1,5,2024-10-07,2024-10-11
2024-10-14,0.02406374066369477,1,5,2024-10-14,2024-10-18
2024-10-21,0.009659248225981965,1,5,2024-10-21,2024-10-25
2024-10-28,-0.003888021673558062,0,5,2024-10-28,2024-11-01
2024-11-04,-0.01857607035999398,0,5,2024-11-04,2024-11-08
2024-11-11,-0.04579559720125692,0,5,2024-11-11,2024-11-15
2024-11-18,0.05839254702336683,1,5,2024-11-18,2024-11-22
2024-11-25,-0.02934326713070490,0,3,2024-11-25,2024-11-27
2024-12-02,-0.001045430457928043,0,5,2024-12-02,2024-12-06
2024-12-09,0.006137724210707685,1,5,2024-12-09,2024-12-13
2024-12-16,-0.009229028797720251,0,5,2024-12-16,2024-12-20
2024-12-23,-0.0004811715818837659,0,3,2024-12-23,2024-12-27
2024-12-30,0.006837396908619175,1,4,2024-12-30,2025-01-03
2025-01-06,0.01907190468567299,1,5,2025-01-06,2025-01-10
2025-01-13,0.004832232762852051,1,5,2025-01-13,2025-01-17
2025-01-20,0.02513363728464668,1,4,2025-01-21,2025-01-24
2025-01-27,0.009966420513737750,1,5,2025-01-27,2025-01-31
2025-02-03,0.02214780342629152,1,5,2025-02-03,2025-02-07
2025-02-10,0.007847815945625447,1,5,2025-02-10,2025-02-14
2025-02-17,0.01857227378354021,1,4,2025-02-18,2025-02-21
2025-02-24,-0.02693307778763376,0,5,2025-02-24,2025-02-28
2025-03-03,0.01814883583028715,1,5,2025-03-03,2025-03-07
2025-03-10,0.02591410312032116,1,5,2025-03-10,2025-03-14
2025-03-17,0.01302557456660081,1,5,2025-03-17,2025-03-21
2025-03-24,0.02024192533815838,1,5,2025-03-24,2025-03-28
2025-03-31,-0.01496229807952343,0,5,2025-03-31,2025-04-04
2025-04-07,0.06512172155571805,1,5,2025-04-07,2025-04-11
2025-04-14,0.02719974587495022,1,2,2025-04-17,2025-04-18
2025-04-21,-0.001999944109683072,0,5,2025-04-21,2025-04-25
2025-04-28,-0.01844635494336067,0,5,2025-04-28,2025-05-02
2025-05-05,0.02198950364165464,1,5,2025-05-05,2025-05-09
2025-05-12,-0.03404367727825841,0,5,2025-05-12,2025-05-16
2025-05-19,0.04494152821837538,1,5,2025-05-19,2025-05-23
2025-05-26,-0.02010430076825931,0,5,2025-05-26,2025-05-30
2025-06-02,0.007073982993914707,1,5,2025-06-02,2025-06-06
2025-06-09,0.03642048076336613,1,5,2025-06-09,2025-06-13
2025-06-16,-0.01853121770452060,0,5,2025-06-16,2025-06-20
2025-06-23,-0.02710690376957414,0,5,2025-06-23,2025-06-27
2025-06-30,0.01791231615173183,1,5,2025-06-30,2025-07-04
2025-07-07,0.004018842260954614,1,5,2025-07-07,2025-07-11
2025-07-14,-0.0005552588288930682,0,5,2025-07-14,2025-07-18
2025-07-21,0.00002924421209260508,1,5,2025-07-21,2025-07-25
2025-07-28,0.004683875117428848,1,5,2025-07-28,2025-08-01
2025-08-04,0.007532976952612236,1,5,2025-08-04,2025-08-08
2025-08-11,-0.01712273093973149,0,5,2025-08-11,2025-08-15
2025-08-18,0.01026634233083834,1,5,2025-08-18,2025-08-22
2025-08-25,0.02718376308224069,1,5,2025-08-25,2025-08-29
2025-09-01,0.03844756102344316,1,5,2025-09-01,2025-09-05
2025-09-08,0.01450548240095961,1,5,2025-09-08,2025-09-12
2025-09-15,0.01296218655437209,1,5,2025-09-15,2025-09-19
2025-09-22,0.02237594432693901,1,5,2025-09-22,2025-09-26
2025-09-29,0.02994186494857209,1,5,2025-09-29,2025-10-03
2025-10-06,0.03506754723761629,1,5,2025-10-06,2025-10-10
2025-10-13,0.05935398404914660,1,5,2025-10-13,2025-10-17
2025-10-20,-0.03546698113222380,0,5,2025-10-20,2025-10-24
2025-10-27,-0.02634524558874451,0,5,2025-10-27,2025-10-31
2025-11-03,0.0007045471310865858,1,5,2025-11-03,2025-11-07
2025-11-10,0.02132514838325550,1,5,2025-11-10,2025-11-14
2025-11-17,-0.003649618576819225,0,5,2025-11-17,2025-11-21
2025-11-24,0.03659989199848213,1,5,2025-11-24,2025-11-28
2025-12-01,-0.004462557589060334,0,5,2025-12-01,2025-12-05
2025-12-08,0.02466366438126344,1,5,2025-12-08,2025-12-12
2025-12-15,0.008538145955069965,1,5,2025-12-15,2025-12-19
2025-12-22,0.04414263619062686,1,5,2025-12-22,2025-12-26
2025-12-29,-0.04779251122049344,0,3,2025-12-29,2025-12-31
