date,n_bars,close_mid,rv_5m,r3_5m,dr_5m,rs_plus_5m,rs_minus_5m,avg_spread_5m,max_spread_5m
2021-08-17,288,1790.35500000,0.00005233486324114748,-2.206404428569101e-8,0.00002827605088097157,0.00002405881236017598,0.00002827605088097157,0.3855243055555546,0.8940000000000055
2021-08-18,288,1780.04000000,0.00006231229535947408,7.907234759457892e-8,0.00002499917412585319,0.00003731312123362093,0.00002499917412585319,0.3950451388888870,1.193999999999960
2021-08-19,288,1785.34000000,0.00006064351403204608,1.733723357172503e-8,0.00002762880116048017,0.00003301471287156591,0.00002762880116048017,0.3853749999999994,0.8740000000000236
2021-08-20,288,1781.06500000,0.00002784259429841673,-6.010565604409951e-9,0.00001582506541504264,0.00001201752888337410,0.00001582506541504264,0.6058055555555365,1.213999999999942
2021-08-23,288,1801.29500000,0.00004443155427938354,2.028865547771335e-8,0.00001606554542644836,0.00002836600885293519,0.00001606554542644836,0.3756354166666753,0.9139999999999873
2021-08-24,288,1794.92150000,0.00004971781309578748,-2.014624464786932e-8,0.00002837426311354395,0.00002134354998224351,0.00002837426311354395,0.3802291666666551,0.9639999999999418
2021-08-25,288,1787.96500000,0.00004982917411628638,-4.600346429538803e-9,0.00002648772897471033,0.00002334144514157609,0.00002648772897471033,0.3759722222222253,0.9339999999999691
2021-08-26,288,1798.22000000,0.00005009164452762924,-5.202027661202715e-10,0.00002322051314841917,0.00002687113137921008,0.00002322051314841917,0.3879097222222130,1.053999999999860
2021-08-27,288,1817.09500000,0.00006592506942384947,3.085040226712753e-8,0.00002459558315246413,0.00004132948627138536,0.00002459558315246413,0.7962916666666734,1.874000000000024
2021-08-30,288,1815.90500000,0.00002117640966192702,2.439388692576819e-9,0.00001035257584643085,0.00001082383381549618,0.00001035257584643085,0.3844618055555529,0.9239999999999782
2021-08-31,288,1815.31500000,0.00005798517997813355,-1.208508635252206e-8,0.00003174032237060577,0.00002624485760752779,0.00003174032237060577,0.3642361111111106,1.064000000000078
2021-09-01,288,1811.27000000,0.00004024370240366176,-9.105152553587516e-9,0.00002146960724769416,0.00001877409515596759,0.00002146960724769416,0.3675173611111120,0.8840000000000146
2021-09-02,288,1812.63000000,0.00003920998267928064,-1.220840041533679e-8,0.00002155761629073783,0.00001765236638854283,0.00002155761629073783,0.3441770833333224,0.5539999999998599
2021-09-03,288,1827.84000000,0.00007791708495112677,2.088824330500826e-7,0.00001955515677032796,0.00005836192818079885,0.00001955515677032796,0.5568125000000081,1.104000000000042
2021-09-06,288,1823.26850000,0.00001184715504996695,-1.162268198417666e-10,0.000006169403614850524,0.000005677751435116424,0.000006169403614850524,0.3882569444444144,0.5439999999998690
2021-09-07,288,1798.15650000,0.00007919767276056627,-1.774432243104220e-7,0.00005937863916414642,0.00001981903359641988,0.00005937863916414642,0.3611180555555570,0.9039999999999964
2021-09-08,288,1788.36500000,0.00006991181386222951,-9.091709746876295e-8,0.00004450019772766679,0.00002541161613456272,0.00004450019772766679,0.3654097222222398,0.9740000000001601
2021-09-09,288,1798.22700000,0.00004978332865567849,-1.774893632160352e-9,0.00002457639540843314,0.00002520693324724532,0.00002457639540843314,0.3743402777777784,1.054000000000087
2021-09-10,288,1787.66000000,0.00004511213650769679,-5.793515635829791e-9,0.00002552479283930972,0.00001958734366838706,0.00002552479283930972,0.5925868055555326,1.223999999999933
2021-09-13,288,1791.13550000,0.00002430802409599786,4.026981085770018e-9,0.00001110047292667934,0.00001320755116931851,0.00001110047292667934,0.3450625000000053,0.8940000000000055
2021-09-14,288,1803.54300000,0.00008171908559167036,1.051675901562521e-7,0.00002651816961117869,0.00005520091598049163,0.00002651816961117869,0.3388923611111139,0.9439999999999600
2021-09-15,288,1791.45500000,0.00004110895800873334,-1.685282498299127e-8,0.00002507713110354276,0.00001603182690519059,0.00002507713110354276,0.3417673611111122,0.8940000000000055
2021-09-16,288,1758.10250000,0.00007646905180680097,-3.594939813628071e-8,0.00004932528105350200,0.00002714377075329899,0.00004932528105350200,0.3461979166666641,0.9939999999999145
2021-09-17,288,1754.50000000,0.00006077143313913883,1.979166784042470e-8,0.00002781935129126220,0.00003295208184787661,0.00002781935129126220,0.8170243055555252,2.023999999999887
2021-09-20,288,1761.98300000,0.00004992632355747065,1.441923571408033e-8,0.00001999873181548362,0.00002992759174198703,0.00001999873181548362,0.3336076388889005,0.8240000000000691
2021-09-21,288,1777.67500000,0.00005260315485964989,4.045988862547945e-8,0.00001832736005685629,0.00003427579480279359,0.00001832736005685629,0.3204618055555560,0.7139999999999418
2021-09-22,288,1764.22200000,0.0001274618627297250,-1.765320631783412e-7,0.00007902409863373658,0.00004843776409598848,0.00007902409863373658,0.3540937499999978,1.183999999999969
2021-09-23,288,1752.32700000,0.00008840483181095002,-3.131182442378290e-8,0.00005078695146969458,0.00003761788034125548,0.00005078695146969458,0.3520694444444522,1.214000000000169
2021-09-24,288,1750.50000000,0.00005758733729296947,2.098456094849996e-8,0.00002597830424041491,0.00003160903305255454,0.00002597830424041491,0.5803125000000485,1.244000000000142
2021-09-27,288,1749.89800000,0.00004520290671780350,3.880297071036222e-9,0.00002248500057612962,0.00002271790614167389,0.00002248500057612962,0.3337465277777814,0.8039999999998599
2021-09-28,288,1740.62000000,0.0001018551548128424,1.261128984811424e-8,0.00005145427450925907,0.00005040088030358336,0.00005145427450925907,0.3478333333333354,0.8940000000000055
2021-09-29,288,1733.02600000,0.00005729455264525165,-4.586922826905441e-9,0.00003009805590152716,0.00002719649674372447,0.00003009805590152716,0.3467708333333250,0.7839999999998781
2021-09-30,288,1754.10650000,0.00008853286219325132,6.532599462584038e-8,0.00002887282593180902,0.00005966003626144235,0.00002887282593180902,0.3607256944444417,0.9639999999999418
2021-10-01,288,1760.80000000,0.00005896193929199484,-6.409888749234453e-9,0.00003010026498573974,0.00002886167430625511,0.00003010026498573974,0.6480243055555511,1.403999999999996
2021-10-04,288,1760.03150000,0.00007473832049567496,4.206863120538098e-8,0.00003015171371051059,0.00004458660678516443,0.00003015171371051059,0.3583923611111114,0.7139999999999418
2021-10-05,288,1755.64650000,0.00004859687661233472,-1.170340929991071e-8,0.00002713599114391464,0.00002146088546842008,0.00002713599114391464,0.3672743055555614,0.8440000000000509
2021-10-06,288,1760.19350000,0.00005841348580745355,9.687154658420607e-9,0.00002617808544997867,0.00003223540035747489,0.00002617808544997867,0.3560624999999994,0.7340000000001510
2021-10-07,288,1759.35000000,0.00004485953872564841,5.443323424843648e-9,0.00002081508876802360,0.00002404444995762489,0.00002081508876802360,0.3594756944444515,0.8340000000000600
2021-10-08,288,1757.27500000,0.00009405750645858831,8.038206759847595e-8,0.00004269339746755339,0.00005136410899103493,0.00004269339746755339,0.6130833333333491,1.334000000000060
2021-10-11,288,1758.39150000,0.00003658195692674240,2.920290620377905e-9,0.00001724738016511736,0.00001933457676162504,0.00001724738016511736,0.3514999999999849,0.7839999999998781
