month,actual,rw,mom,vw,patch_r1,vw_ape,patch_r1_ape,mom_ape,rw_ape,patch_repro,predicted_log_return,patch_repro_ape
2025-03,2983.0,2895.0,2982.378753900627,2905.08897621302,2986.928343375189,2.61183452185652,0.1316910283335195,0.0208262185508853,2.950050284948039,2923.837767259895,0.009911946170075736,1.9833131994671498
2025-04,3218.0,2983.0,3104.385047925515,3100.625457847021,3005.056943554018,3.647437605748255,6.617248491174088,3.530607584663916,7.302672467371038,2981.4211511869657,-0.0005294223227673145,7.351735513145876
2025-05,3309.0,3218.0,3408.33683863975,3264.770415977991,3261.598732673675,1.336645029374706,1.4324952350052906,3.00201990449532,2.750075551526141,3240.3892645751944,0.006933417404813402,2.0734583083954554
2025-06,3353.0,3309.0,3460.6133308545463,3334.4436573768608,3365.372958912546,0.5534250707765954,0.369011598942618,3.2094640875200224,1.31225767968983,3277.606115183388,-0.009532715940329006,2.2485500989147678
2025-07,3340.0,3353.0,3487.51705593199,3400.974778479414,3480.140011884301,1.8255921700423352,4.195808739050935,4.416678321317065,0.3892215568862275,3354.490158827264,0.0004443268097291675,0.43383709063665166
2025-08,3368.0,3340.0,3381.970860225313,3327.460592510277,3403.614718261681,1.2036641178658876,1.0574441289097682,0.4148117644095344,0.831353919239905,3356.826558583016,0.005025244075235746,0.33175301119311557
2025-09,3667.68,3368.0,3387.9870335706432,3481.400845380765,3425.766440157267,5.078936947041038,6.5958196964493325,7.6258824769161055,8.170832788029486,3436.4191793212713,0.020110896611016393,6.305370716058342
2025-10,4058.33,3667.68,3781.9706926066647,3798.3946543052384,3700.3993517070376,6.4049829780910255,8.819653608576985,6.809680518669878,9.625880596205832,3695.255859024229,0.007490487079131358,8.94639275208697
2025-11,4087.0,4058.33,4334.125082499349,4092.4791207609255,4119.201574893441,0.1340621668932108,0.7879024931108617,6.046613224843393,0.7014925373134346,4068.3924797183317,0.002476394360903744,0.4552855464073467
2025-12,4309.0,4087.0,4362.946853032419,4172.658626185684,4143.757468113472,3.1641070738991943,3.834823204607287,1.2519576011236786,5.152007426317011,4105.914599072282,0.0046173147413769156,4.713051773676448
2026-01,4753.0,4309.0,4550.15250483926,4410.506150271823,4442.291969783382,7.205845775892643,6.537092998456086,4.267778143503902,9.34146854618136,4344.510649379095,0.008207269892803182,8.594347793412679
2026-02,5020.0,4753.0,5013.501159375402,5079.488249048107,4896.613880731229,1.1850248814363906,2.4578908220870703,0.1294589765856258,5.318725099601593,4782.847562559103,0.00626009588291071,4.724152140256918
2026-03,4856.0,5020.0,5377.31317001945,5218.31178045727,5215.903202333923,7.461115742530278,7.41151569880402,10.73544419315177,3.3772652388797364,5059.693111831145,0.007875897920718522,4.194668695040052
2026-04,4721.0,4856.0,5060.835586681359,4806.672642106696,4948.680798785073,1.814713876439229,4.822723973418204,7.198381416677801,2.8595636517686933,4900.599237965335,0.009142437344461296,3.8042626131187314
2026-05,4587.0,4721.0,4714.241204979105,4761.057377208789,4779.510518976639,3.794579838866125,4.196872007338983,2.7739525829323,2.921299324177022,4742.080044924785,0.004455225929172371,3.3808599285978937
2026-06,4228.0,4587.0,4451.142541824896,4601.3846662066735,4647.372707707124,8.83123619221082,9.91893821445422,5.27773277731543,8.491012298959319,4578.302382780698,-0.0018979449813938398,8.285297605976782
2026-07,4073.0,4228.0,4038.5163496373502,4106.6330292678895,4230.337895821845,0.8257556903483789,3.862948583890141,0.8466400776491473,3.805548735575743,4219.525070722001,-0.0020064887763893147,3.597472887846824
